time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V 	Vb = 9 V 	Vb = 9.2 V 	Vb = 9.5 V 
8.5E-5	1619415.56358504	1517839.54178293	1454471.09505	1365424.76639583
8.6E-5	1617442.30509176	1515935.10228638	1452613.14085381	1363633.94474513
8.7E-5	1615493.07204645	1514054.02543909	1450778.02827266	1361865.16097143
8.8E-5	1613567.30562389	1512195.76298144	1448965.21966152	1360117.89523005
8.9E-5	1611664.46603851	1510359.78550906	1447174.19592688	1358391.64566012
9E-5	1609784.03169453	1508545.58162319	1445404.45568783	1356685.92756906
9.1E-5	1607925.49838289	1506752.65712806	1443655.51448395	1355000.27266264
9.2E-5	1606088.37852173	1504980.53427253	1441926.90402674	1353334.22831754
9.3E-5	1604272.20043785	1503228.7510327	1440218.17149188	1351687.35689371
9.4E-5	1602476.50768637	1501496.86043324	1438528.87884963	1350059.23508389
9.5E-5	1600700.85840623	1499784.42990473	1436858.60223106	1348449.45329793
9.6E-5	1598944.82470932	1498091.04067483	1435206.93132756	1346857.6150797
9.7E-5	1597207.99210113	1496416.28719115	1433573.46882189	1345283.33655459
9.8E-5	1595489.958931	1494759.77657393	1431957.82984861	1343726.24590562
9.9E-5	1593790.33587017	1493121.12809655	1430359.64148206	1342185.98287647
1E-4	1592108.74541605	1491499.97269243	1428778.54225044	1340662.19829976
1.01E-4	1590444.82142094	1489895.95248643	1427214.18167414	1339154.55364905
1.02E-4	1588798.20864406	1488308.72034966	1425666.21982708	1337662.72061321
1.03E-4	1587168.56232525	1486737.93947595	1424134.32691965	1336186.38069173
1.04E-4	1585555.54777928	1485183.28297903	1422618.18290198	1334725.22480985
1.05E-4	1583958.84000949	1483644.43350905	1421117.47708627	1333278.95295228
1.06E-4	1582378.12333976	1482121.08288737	1419631.90778735	1331847.27381454
1.07E-4	1580813.09106367	1480612.93175865	1418161.18198009	1330429.90447079
1.08E-4	1579263.44510995	1479119.6892592	1416705.01497307	1329026.57005731
1.09E-4	1577728.89572338	1477641.07270068	1415263.13009724	1327637.00347078
