Pulse Number	Voltage (V)	Measurements (Ù)	Model (Ù)	VTEAM (Ù)
108	-1.2	4908.194824	4918.45343345614	4925.87128127566
109	-1.2	4909.401367	4918.35335837898	4925.79240863626
110	-1.2	4908.917969	4918.25339900953	4925.71363104606
111	-1.2	4909.782715	4918.15355510509	4925.63494829064
112	-1.2	4906.395996	4918.05382642373	4925.55636015628
113	-1.2	4903.61377	4917.95421272427	4925.47786642996
114	-1.2	4909.653809	4917.85471376629	4925.39946689937
115	-1.2	4906.902832	4917.75532931013	4925.32116135288
116	-1.2	4905.864746	4917.65605911684	4925.24294957959
117	-1.2	4904.051758	4917.55690294826	4925.16483136924
118	-1.2	4901.535156	4917.45786056695	4925.08680651231
119	-1.2	4903.134277	4917.3589317362	4925.00887479992
120	-1.2	4906.353027	4917.26011622005	4924.93103602391
121	-1.2	4903.664062	4917.16141378326	4924.85328997678
122	-1.2	4903.814453	4917.06282419134	4924.7756364517
123	-1.2	4907.25293	4916.96434721051	4924.69807524254
124	-1.2	4905.132812	4916.8659826077	4924.62060614381
125	-1.2	4905.624023	4916.76773015059	4924.5432289507
126	-1.2	4905.566406	4916.66958960757	4924.46594345908
127	-1.2	4911.493652	4916.57156074771	4924.38874946546
128	-1.2	4910.193848	4916.47364334085	4924.31164676703
129	-1.2	4912.385254	4916.37583715748	4924.23463516161
130	-1.2	4908.733887	4916.27814196884	4924.1577144477
131	-1.2	4905.422852	4916.18055754686	4924.08088442444
132	-1.2	4906.771484	4916.08308366414	4924.00414489161
133	-1.2	4905.522949	4915.98572009403	4923.92749564965
134	-1.2	4909.21875	4915.88846661052	4923.85093649964
135	-1.2	4906.879883	4915.79132298834	4923.77446724329
136	-1.2	4906.503906	4915.69428900287	4923.69808768296
137	-1.2	4906.422852	4915.5973644302	4923.62179762164
138	-1.2	4908.089844	4915.50054904708	4923.54559686295
139	-1.2	4905.476562	4915.40384263098	4923.46948521114
140	-1.2	4907.214844	4915.30724495999	4923.39346247108
141	-1.2	4907.744629	4915.21075581293	4923.31752844828
142	-1.2	4907.205566	4915.11437496926	4923.24168294886
143	-1.2	4906.0625	4915.01810220911	4923.16592577956
144	-1.2	4905.326172	4914.92193731329	4923.09025674774
145	-1.2	4909.068359	4914.82588006327	4923.01467566137
146	-1.2	4906.658691	4914.72993024117	4922.93918232903
147	-1.2	4905.698242	4914.63408762978	4922.86377655992
148	-1.2	4908.629395	4914.53835201253	4922.78845816383
149	-1.2	4911.128418	4914.44272317354	4922.71322695116
150	-1.2	4907.361328	4914.34720089753	4922.63808273291
151	-1.2	4907.450195	4914.25178496991	4922.56302532068
152	-1.2	4908.753906	4914.15647517672	4922.48805452668
153	-1.2	4908.221191	4914.06127130462	4922.41317016368
154	-1.2	4904.899902	4913.96617314095	4922.33837204507
155	-1.2	4911.153809	4913.87118047367	4922.26365998482
156	-1.2	4907.540039	4913.77629309136	4922.18903379748
157	-1.2	4910.216309	4913.68151078325	4922.11449329819
158	-1.2	4905.408203	4913.5868333392	4922.04003830267
159	-1.2	4908.519531	4913.4922605497	4921.96566862722
160	-1.2	4904.845703	4913.39779220584	4921.89138408872
161	-1.2	4905.95459	4913.30342809937	4921.81718450461
162	-1.2	4905.446777	4913.20916802263	4921.74306969292
163	-1.2	4908.98584	4913.11501176859	4921.66903947223
164	-1.2	4903.84668	4913.02095913083	4921.59509366172
165	-1.2	4901.511719	4912.92700990356	4921.52123208109
166	-1.2	4904.229004	4912.83316388157	4921.44745455063
167	-1.2	4902.914062	4912.73942086027	4921.37376089119
168	-1.2	4903.791992	4912.6457806357	4921.30015092409
169	-1.2	4902.127441	4912.55224300447	4921.22662447145
170	-1.2	4903.520996	4912.45880776381	4921.1531813557
171	-1.2	4903.660156	4912.36547471153	4921.07982139991
172	-1.2	4905.112793	4912.27224364605	4921.00654442768
173	-1.2	4904.22168	4912.17911436639	4920.93335026318
174	-1.2	4906.240234	4912.08608667214	4920.86023873111
175	-1.2	4907.602051	4911.99316036351	4920.7872096567
176	-1.2	4905.012207	4911.90033524125	4920.71426286576
177	-1.2	4904.806641	4911.80761110674	4920.64139818459
178	-1.2	4906.097168	4911.71498776192	4920.56861544005
179	-1.2	4903.970703	4911.62246500932	4920.49591445955
180	-1.2	4909.410156	4911.53004265203	4920.42329507099
181	-1.2	4906.942871	4911.43772049374	4920.35075710284
182	-1.2	4909.774902	4911.34549833869	4920.27830038406
183	-1.2	4909.076172	4911.2533759917	4920.20592474417
184	-1.2	4907.202637	4911.16135325816	4920.13363001318
185	-1.2	4907.45752	4911.06942994403	4920.06141602165
186	-1.2	4908.489746	4910.97760585582	4919.98928260064
187	-1.2	4905.462402	4910.88588080063	4919.91722958173
188	-1.2	4904.821777	4910.79425458608	4919.84525679702
189	-1.2	4906.415039	4910.70272702039	4919.77336407911
190	-1.2	4912.431641	4910.61129791229	4919.70155126112
191	-1.2	4908.114258	4910.51996707111	4919.62981817668
192	-1.2	4903.34375	4910.4287343067	4919.55816465992
193	-1.2	4911.036133	4910.33759942947	4919.48659054548
194	-1.2	4905.550781	4910.24656225038	4919.4150956685
195	-1.2	4906.356934	4910.15562258092	4919.34367986461
196	-1.2	4912.748047	4910.06478023313	4919.27234296995
197	-1.2	4909.117188	4909.97403501961	4919.20108482115
198	-1.2	4907.783691	4909.88338675348	4919.12990525535
199	-1.2	4910.477051	4909.79283524839	4919.05880411016
200	-1.2	4907.175781	4909.70238031853	4918.98778122368
201	-1.2	4909.774902	4909.61202177864	4918.91683643453
202	-1.2	4910.651367	4909.52175944397	4918.84596958177
203	-1.2	4908.259277	4909.43159313031	4918.77518050499
204	-1.2	4908.648926	4909.34152265396	4918.70446904423
205	-1.2	4907.194824	4909.25154783176	4918.63383504002
206	-1.2	4908.795898	4909.16166848107	4918.56327833337
207	-1.2	4907.90332	4909.07188441978	4918.49279876577
208	-1.2	4907.351074	4908.98219546627	4918.42239617919
209	-1.2	4910.038086	4908.89260143946	4918.35207041605
210	-1.2	4910.651367	4908.80310215877	4918.28182131927
211	-1.2	4911.696777	4908.71369744416	4918.21164873222
212	-1.2	4910.148438	4908.62438711607	4918.14155249874
213	-1.2	4905.884277	4908.53517099546	4918.07153246314
214	-1.2	4905.966309	4908.4460489038	4918.0015884702
215	-1.2	4907.162109	4908.35702066306	4917.93172036514
216	-1.2	4908.303711	4908.26808609571	4917.86192799368
217	-1.2	4908.219238	4908.17924502474	4917.79221120195
218	-1.2	4909.606934	4908.09049727361	4917.72256983656
219	-1.2	4910.689453	4908.0018426663	4917.65300374459
220	-1.2	4912.84082	4907.91328102728	4917.58351277356
221	-1.2	4913.767578	4907.82481218151	4917.51409677142
222	-1.2	4914.895996	4907.73643595444	4917.44475558661
223	-1.2	4910.213379	4907.64815217201	4917.37548906798
224	-1.2	4909.940918	4907.55996066067	4917.30629706485
225	-1.2	4911.754395	4907.47186124732	4917.23717942698
226	-1.2	4911.051758	4907.38385375936	4917.16813600456
227	-1.2	4911.556152	4907.29593802469	4917.09916664825
228	-1.2	4908.947266	4907.20811387167	4917.03027120911
229	-1.2	4908.791016	4907.12038112915	4916.96144953867
230	-1.2	4907.206543	4907.03273962643	4916.89270148888
231	-1.2	4903.532227	4906.94518919333	4916.82402691213
232	-1.2	4908.927734	4906.85772966012	4916.75542566123
233	-1.2	4909.972168	4906.77036085753	4916.68689758945
234	-1.2	4909.442871	4906.68308261679	4916.61844255045
235	-1.2	4910.202637	4906.59589476957	4916.55006039835
236	-1.2	4911.202148	4906.50879714802	4916.48175098768
237	-1.2	4907.408203	4906.42178958476	4916.4135141734
238	-1.2	4906.986328	4906.33487191286	4916.34534981088
239	-1.2	4907.647949	4906.24804396586	4916.27725775594
240	-1.2	4908.358398	4906.16130557777	4916.20923786479
241	-1.2	4907.318848	4906.07465658304	4916.14128999406
242	-1.2	4909.191406	4905.98809681658	4916.07341400083
243	-1.2	4907.477051	4905.90162611376	4916.00560974254
244	-1.2	4909.851562	4905.8152443104	4915.93787707709
245	-1.2	4906.546387	4905.72895124278	4915.87021586277
246	-1.2	4908.753418	4905.64274674762	4915.80262595829
247	-1.2	4907.523438	4905.55663066208	4915.73510722275
248	-1.2	4910.745117	4905.4706028238	4915.66765951567
249	-1.2	4910.180176	4905.38466307083	4915.60028269699
250	-1.2	4908.221191	4905.29881124167	4915.53297662702
251	-1.2	4907.744629	4905.21304717529	4915.46574116649
252	-1.2	4906.371094	4905.12737071105	4915.39857617655
253	-1.2	4907.810547	4905.04178168879	4915.33148151871
254	-1.2	4910.649414	4904.95627994878	4915.26445705491
255	-1.2	4909.776855	4904.87086533172	4915.19750264747
256	-1.2	4906.313965	4904.78553767872	4915.1306181591
257	-1.2	4912.230957	4904.70029683137	4915.06380345292
258	-1.2	4909.105957	4904.61514263165	4914.99705839243
259	-1.2	4909.297852	4904.53007492199	4914.93038284152
260	-1.2	4911.008301	4904.44509354524	4914.86377666449
261	-1.2	4907.104492	4904.36019834469	4914.79723972598
262	-1.2	4908.640625	4904.27538916402	4914.73077189107
263	-1.2	4907.481934	4904.19066584737	4914.66437302518
264	-1.2	4912.071289	4904.10602823929	4914.59804299415
265	-1.2	4909.657715	4904.02147618473	4914.53178166418
266	-1.2	4910.144531	4903.93700952909	4914.46558890184
267	-1.2	4911.016113	4903.85262811817	4914.39946457411
268	-1.2	4909.016113	4903.76833179818	4914.33340854832
269	-1.2	4909.339355	4903.68412041575	4914.26742069219
270	-1.2	4911.501953	4903.59999381793	4914.2015008738
271	-1.2	4908.717285	4903.51595185217	4914.13564896163
272	-1.2	4908.697754	4903.43199436634	4914.0698648245
273	-1.2	4912.378906	4903.3481212087	4914.00414833163
274	-1.2	4909.404297	4903.26433222793	4913.93849935258
275	-1.2	4909.070801	4903.18062727313	4913.8729177573
276	-1.2	4907.46875	4903.09700619376	4913.8074034161
277	-1.2	4905.019531	4903.01346883972	4913.74195619964
278	-1.2	4904.814941	4902.93001506131	4913.67657597896
279	-1.2	4907.599609	4902.8466447092	4913.61126262547
280	-1.2	4906.76416	4902.76335763449	4913.54601601092
281	-1.2	4909.125488	4902.68015368866	4913.48083600743
282	-1.2	4906.019043	4902.59703272358	4913.41572248748
283	-1.2	4904.194824	4902.51399459154	4913.3506753239
284	-1.2	4906.538574	4902.43103914518	4913.28569438987
285	-1.2	4906.317383	4902.34816623758	4913.22077955895
286	-1.2	4906.899902	4902.26537572216	4913.15593070503
287	-1.2	4905.686523	4902.18266745277	4913.09114770235
288	-1.2	4901.663086	4902.10004128362	4913.02643042552
289	-1.2	4904.26123	4902.01749706932	4912.96177874948
290	-1.2	4902.769531	4901.93503466486	4912.89719254953
291	-1.2	4905.112793	4901.8526539256	4912.83267170131
292	-1.2	4906.081055	4901.77035470731	4912.7682160808
293	-1.2	4903.903809	4901.68813686611	4912.70382556434
294	-1.2	4902.84668	4901.60600025851	4912.6395000286
295	-1.2	4905.194336	4901.52394474141	4912.57523935059
296	-1.2	4901.825684	4901.44197017207	4912.51104340768
297	-1.2	4907.022461	4901.36007640812	4912.44691207754
298	-1.2	4903.478027	4901.27826330758	4912.38284523822
299	-1.2	4905.402344	4901.19653072884	4912.31884276809
300	-1.2	4907.310059	4901.11487853065	4912.25490454584
301	-1.2	4901.407715	4901.03330657214	4912.19103045052
302	-1.2	4906.954102	4900.9518147128	4912.1272203615
303	-1.2	4908.611328	4900.87040281248	4912.06347415847
304	-1.2	4909.395996	4900.78907073143	4911.99979172148
305	-1.2	4906.516113	4900.70781833021	4911.93617293088
306	-1.2	4906.371094	4900.6266454698	4911.87261766736
307	-1.2	4908.186035	4900.5455520115	4911.80912581195
308	-1.2	4909.199219	4900.464537817	4911.74569724598
309	-1.2	4906.650879	4900.38360274831	4911.68233185113
310	-1.2	4903.571289	4900.30274666785	4911.61902950938
311	-1.2	4900.448242	4900.22196943836	4911.55579010304
312	-1.2	4900.506348	4900.14127092295	4911.49261351476
313	-1.2	4901.984375	4900.06065098507	4911.42949962748
314	-1.2	4898.485352	4899.98010948853	4911.36644832449
315	-1.2	4900.467773	4899.89964629752	4911.30345948936
316	-1.2	4903.141113	4899.81926127653	4911.24053300601
317	-1.2	4904.92627	4899.73895429044	4911.17766875866
318	-1.2	4903.606445	4899.65872520446	4911.11486663185
319	-1.2	4900.692383	4899.57857388415	4911.05212651042
320	-1.2	4899.165039	4899.49850019542	4910.98944827954
321	-1.2	4900.672363	4899.41850400452	4910.92683182469
322	-1.2	4900.750488	4899.33858517805	4910.86427703164
323	-1.2	4902.62207	4899.25874358294	4910.80178378649
324	-1.2	4899.830566	4899.17897908648	4910.73935197563
325	-1.2	4899.212891	4899.09929155628	4910.67698148578
326	-1.2	4901.713379	4899.0196808603	4910.61467220394
327	-1.2	4899.235352	4898.94014686683	4910.55242401743
328	-1.2	4898.300293	4898.86068944452	4910.49023681386
329	-1.2	4903.617676	4898.78130846232	4910.42811048117
330	-1.2	4903.022461	4898.70200378954	4910.36604490756
331	-1.2	4899.845215	4898.62277529581	4910.30403998157
332	-1.2	4900.015625	4898.54362285111	4910.24209559202
333	-1.2	4898.890137	4898.46454632573	4910.18021162801
334	-1.2	4904.054688	4898.3855455903	4910.11838797898
335	-1.2	4900.216797	4898.30662051578	4910.05662453463
336	-1.2	4904.563477	4898.22777097345	4909.99492118497
337	-1.2	4902.691895	4898.14899683492	4909.93327782029
338	-1.2	4899.888672	4898.07029797213	4909.8716943312
339	-1.2	4902.982422	4897.99167425734	4909.81017060858
340	-1.2	4898.979004	4897.91312556313	4909.7487065436
341	-1.2	4898.063477	4897.83465176241	4909.68730202773
342	-1.2	4905.77832	4897.75625272841	4909.62595695272
343	-1.2	4901.48877	4897.67792833467	4909.56467121062
344	-1.2	4903.165039	4897.59967845506	4909.50344469375
345	-1.2	4900.456055	4897.52150296376	4909.44227729473
346	-1.2	4901.063477	4897.44340173527	4909.38116890646
347	-1.2	4900.791992	4897.36537464442	4909.32011942212
348	-1.2	4898.724121	4897.28742156632	4909.25912873517
349	-1.2	4894.752441	4897.20954237642	4909.19819673936
350	-1.2	4897.526367	4897.13173695049	4909.13732332872
351	-1.2	4897.375488	4897.05400516458	4909.07650839756
352	-1.2	4899.706055	4896.97634689508	4909.01575184046
353	-1.2	4899.288574	4896.89876201867	4908.95505355229
354	-1.2	4899.29541	4896.82125041235	4908.89441342818
355	-1.2	4899.288574	4896.74381195342	4908.83383136357
356	-1.2	4895.545898	4896.66644651949	4908.77330725412
357	-1.2	4898.182617	4896.58915398849	4908.71284099582
358	-1.2	4898.697266	4896.51193423861	4908.6524324849
359	-1.2	4897.971191	4896.4347871484	4908.59208161787
360	-1.2	4900.923828	4896.35771259667	4908.53178829151
361	-1.2	4902.734863	4896.28071046255	4908.47155240288
362	-1.2	4900.831543	4896.20378062547	4908.4113738493
363	-1.2	4902.730957	4896.12692296514	4908.35125252836
364	-1.2	4899.795898	4896.0501373616	4908.2911883379
365	-1.2	4902.762207	4895.97342369517	4908.23118117607
366	-1.2	4898.724609	4895.89678184645	4908.17123094125
367	-1.2	4900.87793	4895.82021169638	4908.11133753209
368	-1.2	4898.924805	4895.74371312614	4908.0515008475
369	-1.2	4901.209961	4895.66728601724	4907.99172078669
370	-1.2	4900.75	4895.59093025148	4907.93199724907
371	-1.2	4895.317383	4895.51464571094	4907.87233013436
372	-1.2	4898.546387	4895.43843227799	4907.81271934253
373	-1.2	4893.23877	4895.3622898353	4907.75316477379
374	-1.2	4896.216797	4895.28621826581	4907.69366632863
375	-1.2	4892.812012	4895.21021745278	4907.63422390779
376	-1.2	4897.731445	4895.13428727972	4907.57483741227
377	-1.2	4894.27002	4895.05842763045	4907.51550674331
378	-1.2	4897.260254	4894.98263838907	4907.45623180242
379	-1.2	4894.555176	4894.90691943996	4907.39701249137
380	-1.2	4893.291992	4894.83127066777	4907.33784871217
381	-1.2	4893.05957	4894.75569195747	4907.27874036709
382	-1.2	4893.503418	4894.68018319427	4907.21968735864
383	-1.2	4891.997559	4894.60474426369	4907.16068958959
384	-1.2	4893.992188	4894.52937505151	4907.10174696297
385	-1.2	4896.095215	4894.4540754438	4907.04285938203
386	-1.2	4897.056152	4894.37884532689	4906.98402675031
387	-1.2	4895.63916	4894.30368458741	4906.92524897155
388	-1.2	4897.978027	4894.22859311226	4906.86652594977
389	-1.2	4898.878418	4894.1535707886	4906.80785758922
390	-1.2	4895.685547	4894.07861750388	4906.74924379441
391	-1.2	4895.346191	4894.00373314582	4906.69068447008
392	-1.2	4897.279297	4893.9289176024	4906.63217952121
393	-1.2	4896.380371	4893.85417076188	4906.57372885304
394	-1.2	4893.899902	4893.7794925128	4906.51533237103
395	-1.2	4892.226562	4893.70488274396	4906.4569899809
396	-1.2	4893.266113	4893.63034134441	4906.39870158861
397	-1.2	4891.897461	4893.55586820351	4906.34046710033
398	-1.2	4894.35498	4893.48146321086	4906.2822864225
399	-1.2	4895.256348	4893.40712625632	4906.22415946179
400	-1.2	4898.94873	4893.33285723002	4906.1660861251
401	-1.2	4899.529785	4893.25865602238	4906.10806631957
402	-1.2	4899.690918	4893.18452252405	4906.05009995257
403	-1.2	4898.909668	4893.11045662595	4905.99218693172
404	-1.2	4891.018555	4893.03645821927	4905.93432716485
405	-1.2	4896.17041	4892.96252719547	4905.87652056004
406	-1.2	4891.461914	4892.88866344625	4905.8187670256
407	-1.2	4895.645996	4892.81486686357	4905.76106647007
408	-1.2	4896.623535	4892.74113733967	4905.70341880221
409	-1.2	4895.222656	4892.66747476703	4905.64582393103
410	-1.2	4893.148438	4892.59387903838	4905.58828176575
411	-1.2	4893.344238	4892.52035004673	4905.53079221583
412	-1.2	4895.670898	4892.44688768533	4905.47335519096
413	-1.2	4894.05957	4892.37349184768	4905.41597060103
414	-1.2	4897.773438	4892.30016242754	4905.3586383562
415	-1.2	4893.147461	4892.22689931893	4905.30135836681
416	-1.2	4893.497559	4892.15370241611	4905.24413054347
417	-1.2	4895.962891	4892.08057161359	4905.18695479697
418	-1.2	4893.879883	4892.00750680615	4905.12983103834
419	-1.2	4893.88916	4891.9345078888	4905.07275917886
420	-1.2	4898.160645	4891.8615747568	4905.01573912998
421	-1.2	4895.912109	4891.78870730567	4904.95877080341
422	-1.2	4898.168457	4891.71590543117	4904.90185411107
423	-1.2	4897.97998	4891.64316902929	4904.84498896509
424	-1.2	4895.036621	4891.57049799631	4904.78817527783
425	-1.2	4895.882812	4891.4978922287	4904.73141296186
426	-1.2	4892.664551	4891.42535162322	4904.67470192997
427	-1.2	4896.63916	4891.35287607685	4904.61804209517
428	-1.2	4898.671387	4891.28046548681	4904.56143337068
429	-1.2	4898.009277	4891.20811975058	4904.50487566995
430	-1.2	4897.406738	4891.13583876586	4904.44836890662
431	-1.2	4897.121094	4891.06362243061	4904.39191299455
432	-1.2	4893.861328	4890.99147064301	4904.33550784784
433	-1.2	4899.995605	4890.9193833015	4904.27915338077
434	-1.2	4894.768555	4890.84736030474	4904.22284950784
435	-1.2	4893.061523	4890.77540155164	4904.16659614377
436	-1.2	4896.797363	4890.70350694133	4904.11039320348
437	-1.2	4894.986328	4890.6316763732	4904.05424060211
438	-1.2	4895.944336	4890.55990974686	4903.998138255
439	-1.2	4897.291992	4890.48820696215	4903.94208607769
440	-1.2	4894.547852	4890.41656791915	4903.88608398596
441	-1.2	4897.216309	4890.34499251818	4903.83013189576
442	-1.2	4899.033691	4890.27348065978	4903.77422972327
443	-1.2	4898.265137	4890.20203224473	4903.71837738486
444	-1.2	4898.214355	4890.13064717404	4903.66257479712
445	-1.2	4898.172852	4890.05932534894	4903.60682187684
446	-1.2	4896.626465	4889.98806667091	4903.55111854099
447	-1.2	4895.838867	4889.91687104163	4903.49546470678
448	-1.2	4896.53125	4889.84573836303	4903.4398602916
