time (s)	Resistance (Ù)	Resistance (Ù)
	Device 1	Device 2
0.02265	15190	12360
0.0227	15200	12350
0.02275	15210	12330
0.0228	15220	12310
0.02285	15230	12290
0.0229	15240	12280
0.02295	15250	12260
0.023	15260	12240
0.02305	15270	12230
0.0231	15280	12210
0.02315	15290	12190
0.0232	15300	12180
0.02325	15310	12160
0.0233	15320	12150
0.02335	15330	12130
0.0234	15340	12120
0.02345	15350	12100
0.0235	15350	12090
0.02355	15360	12070
0.0236	15370	12060
0.02365	15380	12040
0.0237	15390	12030
0.02375	15400	12020
0.0238	15410	12000
0.02385	15420	11990
0.0239	15430	11980
0.02395	15440	11960
0.024	15450	11950
0.02405	15450	11940
0.0241	15460	11930
0.02415	15470	11910
0.0242	15480	11900
0.02425	15490	11890
0.0243	15500	11880
0.02435	15510	11870
0.0244	15510	11860
0.02445	15520	11850
0.0245	15530	11830
0.02455	15540	11820
0.0246	15550	11810
0.02465	15560	11800
0.0247	15560	11790
0.02475	15570	11780
0.0248	15580	11770
0.02485	15590	11760
0.0249	15600	11750
0.02495	15610	11750
0.025	15610	11740
0.025	15610	11740
0.025	15610	11740
0.025	15610	11740
0.025	15610	11740
0.025	15610	11740
0.025	15610	11740
0.02501	15610	11740
0.02501	15610	11730
0.02503	15620	11730
0.02505	15620	11730
0.0251	15630	11720
0.02515	15640	11710
0.0252	15640	11700
0.02525	15650	11690
0.0253	15660	11680
0.02535	15670	11670
0.0254	15670	11670
0.02545	15680	11660
0.0255	15690	11650
0.02555	15690	11640
0.0256	15700	11630
0.02565	15710	11620
0.0257	15720	11620
0.02575	15720	11610
0.0258	15730	11600
0.02585	15740	11590
0.0259	15740	11580
0.02595	15750	11580
0.026	15750	11570
0.02605	15760	11560
0.0261	15770	11550
0.02615	15770	11550
0.0262	15780	11540
0.02625	15780	11530
0.0263	15790	11530
0.02635	15800	11520
0.0264	15800	11510
0.02645	15810	11510
0.0265	15810	11500
0.02655	15820	11490
0.0266	15820	11490
0.02665	15830	11480
0.0267	15840	11470
0.02675	15840	11470
0.0268	15850	11460
0.02685	15850	11460
0.0269	15860	11450
0.02695	15860	11450
0.027	15870	11440
0.02705	15870	11440
0.0271	15880	11430
0.02715	15880	11430
0.0272	15890	11420
0.02725	15890	11420
0.0273	15900	11410
0.02735	15900	11410
0.0274	15910	11410
0.02745	15910	11400
0.0275	15910	11400
0.02755	15920	11390
0.0276	15920	11390
0.02765	15930	11390
0.0277	15930	11380
0.02775	15940	11380
0.0278	15940	11380
0.02785	15940	11370
