time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
4.1041041041041E-4	3008709.50476949	2483599.89417091	2087064.12670839	1817765.52923616
4.11411411411411E-4	3009809.53001946	2484656.12387398	2088032.26479386	1818612.26454229
4.12412412412412E-4	3010906.93102075	2485709.80755068	2088998.36959328	1819457.57855854
4.13413413413413E-4	3012001.72026449	2486761.33530555	2089962.44962937	1820301.07367795
4.14414414414414E-4	3013093.91015289	2487810.21330804	2090924.51337138	1821143.29283467
4.15415415415415E-4	3014183.51299998	2488856.83064671	2091884.56923556	1821983.83909827
4.16416416416416E-4	3015270.54103253	2489901.07209818	2092842.62558553	1822822.85227311
4.17417417417417E-4	3016355.00639082	2490942.94842484	2093798.69073279	1823660.47115651
4.18418418418418E-4	3017436.92112947	2491982.47031614	2094752.62514776	1824496.30165519
4.19419419419419E-4	3018516.4559273	2493019.64838921	2095704.88040702	1825330.88166809
4.2042042042042E-4	3019593.30488083	2494054.49318952	2096654.87412061	1826163.81776732
4.21421421421421E-4	3020667.63887434	2495086.89139318	2097603.05684712	1826995.24838793
4.22422422422422E-4	3021739.46962777	2496117.22479939	2098549.28915989	1827825.1789622
4.23423423423423E-4	3022808.80877928	2497145.00910166	2099493.57906648	1828653.61489308
4.24424424424424E-4	3023875.66788609	2498170.62512951	2100436.0804999	1829480.69309453
4.25425425425425E-4	3024940.05842518	2499193.95955823	2101376.36344561	1830306.15559529
4.26426426426426E-4	3026001.99179404	2500215.02251666	2102314.87368877	1831130.27055764
4.27427427427427E-4	3027061.47931142	2501233.8240663	2103251.4730678	1831952.65006133
4.28428428428428E-4	3028118.53221804	2502250.37420198	2104186.16934815	1832773.82317539
4.29429429429429E-4	3029173.16167729	2503264.68285242	2105118.97024804	1833593.40262561
4.3043043043043E-4	3030225.5334962	2504276.63853104	2106049.88343885	1834411.52445042
4.31431431431431E-4	3031275.34889251	2505286.61508526	2106978.91654546	1835228.19382539
4.32432432432432E-4	3032322.77387643	2506294.13738102	2107906.07714665	1836043.4158986
4.33433433433433E-4	3033367.81930909	2507299.5783392	2108831.37277546	1836857.32523839
4.34434434434434E-4	3034410.49597777	2508302.82648291	2109754.66787228	1837669.66781478
4.35435435435435E-4	3035450.81459656	2509303.89135618	2110676.39902167	1838480.57837125
4.36436436436436E-4	3036488.78580701	2510302.78244084	2111596.00200394	1839290.06194772
4.37437437437437E-4	3037524.42017883	2511299.5091571	2112513.91245584	1840098.12355755
4.38438438438438E-4	3038557.72821046	2512294.08086408	2113429.99492618	1840904.89650134
4.39439439439439E-4	3039588.7203298	2513286.38786421	2114344.2566812	1841710.12888829
4.4044044044044E-4	3040617.40689474	2514276.79638423	2115256.7049439	1842513.95419197
4.41441441441441E-4	3041643.94912084	2515264.84012944	2116167.34689437	1843316.37732137
4.42442442442442E-4	3042668.05503839	2516250.88444033	2117076.18967016	1844117.4031598
4.43443443443443E-4	3043689.88606324	2517234.93761715	2117983.24036658	1844917.1637644
4.44444444444444E-4	3044709.45227965	2518216.65472614	2118888.50603707	1845715.40934865
4.45445445445445E-4	3045726.76370494	2519196.39865029	2119791.85373364	1846512.27214057
4.46446446446446E-4	3046741.83029016	2520174.06029938	2120693.71030649	1847307.75692268
4.47447447447447E-4	3047754.66192059	2521149.64850565	2121593.52339302	1848101.99477438
4.48448448448448E-4	3048765.26841639	2522123.0553133	2122491.85808049	1848894.73756798
4.49449449449449E-4	3049773.65953312	2523094.63963889	2123388.30297947	1849686.11655212
4.5045045045045E-4	3050779.84496233	2524064.05995188	2124282.86571154	1850476.13641124
4.51451451451451E-4	3051783.98196856	2525031.32559873	2125175.96884618	1851264.8018057
4.52452452452452E-4	3052785.78452293	2525996.79312494	2126067.06524949	1852052.24261346
4.53453453453453E-4	3053785.41008727	2526960.00753339	2126956.71440305	1852838.21275032
4.54454454454454E-4	3054782.86810261	2527921.32453303	2127844.37123719	1853622.8422614
4.55455455455455E-4	3055778.16794865	2528880.63676735	2128730.45575608	1854406.13571231
4.56456456456456E-4	3056771.31894437	2529837.95258057	2129614.83673841	1855188.09764538
4.57457457457457E-4	3057762.33034851	2530793.28026493	2130497.52072189	1855968.85675953
4.58458458458458E-4	3058751.2113601	2531746.6280611	2131378.51420661	1856748.16898137
4.59459459459459E-4	3059737.97111897	2532698.00415864	2132257.82365543	1857526.16317494
4.6046046046046E-4	3060722.61870626	2533647.30285249	2133135.4554942	1858302.84379101
4.61461461461461E-4	3061705.16314492	2534594.76015324	2134011.41611206	1859078.21525782
4.62462462462462E-4	3062685.75757891	2535540.27002046	2134885.71186173	1859852.40511704
4.63463463463463E-4	3063664.12225254	2536483.84044336	2135758.21387443	1860625.17127416
4.64464464464464E-4	3064640.41050348	2537425.47936211	2136629.33398683	1861396.64143395
4.65465465465465E-4	3065614.63112681	2538365.19466818	2137498.53821318	1862166.81993614
4.66466466466466E-4	3066586.79286187	2539302.9942048	2138366.23755201	1862935.83341183
