time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
1.54E-4	1371095.78617585	1627656.5530364	1995172.63983921	2403048.85701929
1.55E-4	1372290.25795218	1630050.85928893	1998676.58950247	2407046.73075662
1.56E-4	1373483.41221877	1632439.18230406	2002165.27064441	2411020.46031167
1.57E-4	1374675.2511259	1634821.54509274	2005638.79047302	2414970.29024926
1.58E-4	1375865.77681963	1637197.97055431	2009097.25520134	2418896.46174993
1.59E-4	1377054.99144182	1639568.48147706	2012540.77005861	2422799.21266836
1.6E-4	1378242.8971301	1641933.10053888	2015969.43930123	2426678.7775906
1.61E-4	1379429.49601796	1644291.85030787	2019383.36622363	2430535.38789008
1.62E-4	1380614.79023468	1646644.75324289	2022782.65316891	2434369.27178255
1.63E-4	1381798.78190535	1648991.83169422	2026167.40153949	2438180.65437988
1.64E-4	1382981.47315094	1651333.10790411	2029537.71180747	2441969.75774279
1.65E-4	1384162.86608823	1653668.6040074	2032893.68352498	2445736.80093246
1.66E-4	1385342.96282986	1655998.34203207	2036235.41533434	2449482.0000612
1.67E-4	1386521.76548434	1658322.34389988	2039563.00497809	2453205.56834204
1.68E-4	1387699.27615603	1660640.63142691	2042876.54930895	2456907.71613735
1.69E-4	1388875.4969452	1662953.22632414	2046176.14429957	2460588.65100648
1.7E-4	1390050.42994796	1665260.15019804	2049461.88505223	2464248.5777525
1.71E-4	1391224.07725637	1667561.42455115	2052733.86580837	2467887.69846795
1.72E-4	1392396.44095834	1669857.07078263	2055992.17995806	2471506.21257974
1.73E-4	1393567.52313773	1672147.11018881	2059236.92004927	2475104.31689316
1.74E-4	1394737.32587429	1674431.5639638	2062468.17779709	2478682.20563498
1.75E-4	1395905.85124372	1676710.4532	2065686.04409282	2482240.0704958
1.76E-4	1397073.10131764	1678983.79888871	2068890.60901292	2485778.10067149
1.77E-4	1398239.07816364	1681251.62192062	2072081.96182788	2489296.48290386
1.78E-4	1399403.78384522	1683513.9430864	2075260.19101098	2492795.40152053
1.79E-4	1400567.22042187	1685770.78307724	2078425.3842469	2496275.03847406
1.8E-4	1401729.38994905	1688022.1624854	2081577.62844029	2499735.57338031
1.81E-4	1402890.29447819	1690268.10180474	2084717.00972416	2503177.18355601
1.82E-4	1404049.9360567	1692508.62143124	2087843.61346823	2506600.04405574
1.83E-4	1405208.316728	1694743.74166357	2090957.52428714	2510004.32770806
1.84E-4	1406365.43853149	1696973.48270361	2094058.82604856	2513390.20515101
1.85E-4	1407521.3035026	1699197.86465697	2097147.60188123	2516757.84486702
1.86E-4	1408675.91367276	1701416.90753351	2100223.93418286	2520107.41321701
1.87E-4	1409829.27106944	1703630.63124789	2103287.90462797	2523439.07447393
1.88E-4	1410981.37771614	1705839.05562006	2106339.59417559	2526752.99085569
1.89E-4	1412132.2356324	1708042.20037578	2109379.08307691	2530049.32255741
1.9E-4	1413281.84683382	1710240.08514717	2112406.45088284	2533328.22778311
1.91E-4	1414430.21333205	1712432.72947316	2115421.77645139	2536589.86277678
1.92E-4	1415577.3371348	1714620.15280005	2118425.13795511	2539834.38185293
1.93E-4	1416723.22024587	1716802.374482	2121416.61288827	2543061.93742648
1.94E-4	1417867.86466514	1718979.41378151	2124396.2780741	2546272.68004217
1.95E-4	1419011.27238857	1721151.28986995	2127364.20967185	2549466.75840341
1.96E-4	1420153.44540822	1723318.02182804	2130320.4831838	2552644.3194006
1.97E-4	1421294.38571228	1725479.62864635	2133265.17346217	2555805.5081389
1.98E-4	1422434.09528502	1727636.12922578	2136198.35471597	2558950.46796555
1.99E-4	1423572.57610686	1729787.54237807	2139120.10051773	2562079.34049664
2E-4	1424709.83015435	1731933.88682624	2142030.48381019	2565192.26564342
2.01E-4	1425845.85940015	1734075.18120515	2144929.57691285	2568289.38163813
2.02E-4	1426980.66581311	1736211.44406189	2147817.45152853	2571370.82505935
2.03E-4	1428114.2513582	1738342.69385633	2150694.17874977	2574436.7308569
2.04E-4	1429246.61799656	1740468.94896153	2153559.8290652	2577487.23237632
2.05E-4	1430377.76768551	1742590.22766429	2156414.47236577	2580522.46138285
2.06E-4	1431507.70237855	1744706.54816553	2159258.17795103	2583542.54808505
2.07E-4	1432636.42402535	1746817.92858084	2162091.01453519	2586547.62115792
2.08E-4	1433763.9345718	1748924.38694086	2164913.05025318	2589537.80776573
2.09E-4	1434890.23595996	1751025.94119182	2167724.35266668	2592513.23358428
2.1E-4	1436015.33012813	1753122.60919595	2170524.98876998	2595474.02282292
2.11E-4	1437139.2190108	1755214.40873195	2173315.02499582	2598420.29824611
2.12E-4	1438261.90453871	1757301.35749542	2176094.5272212	2601352.18119458
2.13E-4	1439383.38863882	1759383.47309937	2178863.56077304	2604269.79160616
2.14E-4	1440503.67323433	1761460.77307459	2181622.19043382	2607173.24803626
2.15E-4	1441622.7602447	1763533.27487015	2184370.48044716	2610062.66767793
2.16E-4	1442740.65158564	1765600.99585383	2187108.49452332	2612938.16638163
2.17E-4	1443857.34916912	1767663.95331254	2189836.29584461	2615799.85867463
2.18E-4	1444972.85490339	1769722.1644528	2192553.94707079	2618647.85778007
2.19E-4	1446087.17069297	1771775.64640111	2195261.51034436	2621482.27563571
2.2E-4	1447200.29843868	1773824.41620445	2197959.0472958	2624303.22291235
