time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
1.85705705705706E-5	215.504356674895	251.059022756442	296.58437678232	352.105689369686	417.649429510559	493.227770087935	578.728918483144	673.063689893286
1.85945945945946E-5	215.500150524882	251.053523757145	296.5773230187	352.09680471848	417.638442433251	493.214489771465	578.713673198358	673.050308074374
1.86186186186186E-5	215.495968226197	251.048053621093	296.570303499891	352.087959938658	417.627500909794	493.201260288314	578.698481612477	673.036968644916
1.86426426426426E-5	215.491809641851	251.042612194031	296.563318055441	352.079154845129	417.616604742602	493.188081432142	578.683343522079	673.023671460736
1.86666666666667E-5	215.487674635658	251.037199322559	296.556366515787	352.070389253714	417.605753735014	493.174952997536	578.668258724613	673.010416378207
1.86906906906907E-5	215.483563072235	251.031814854123	296.549448712252	352.061662981143	417.594947691298	493.161874780006	578.653227018394	672.997203254255
1.87147147147147E-5	215.479474816995	251.026458637015	296.542564477036	352.052975845053	417.584186416639	493.14884657598	578.6382482026	672.984031946352
1.87387387387387E-5	215.475409736144	251.021130520363	296.535713643213	352.044327663978	417.573469717135	493.135868182799	578.623322077265	672.970902312519
1.87627627627628E-5	215.471367696673	251.015830354129	296.528896044728	352.035718257347	417.562797399796	493.122939398711	578.608448443277	672.957814211316
1.87867867867868E-5	215.467348566355	251.010557989104	296.522111516388	352.027147445479	417.552169272535	493.110060022868	578.593627102376	672.944767501846
1.88108108108108E-5	215.463352213742	251.005313276902	296.515359893862	352.018615049579	417.541585144164	493.097229855322	578.578857857142	672.931762043749
1.88348348348348E-5	215.459378508157	251.000096069955	296.50864101367	352.010120891731	417.531044824394	493.084448697017	578.564140510998	672.918797697202
1.88588588588589E-5	215.455427319692	250.994906221512	296.501954713185	352.001664794893	417.52054812382	493.071716349788	578.549474868203	672.905874322912
1.88828828828829E-5	215.451498519199	250.989743585627	296.495300830623	351.993246582895	417.510094853929	493.059032616355	578.534860733848	672.892991782121
1.89069069069069E-5	215.447591978291	250.984608017162	296.488679205042	351.984866080433	417.499684827084	493.046397300315	578.520297913852	672.880149936597
1.89309309309309E-5	215.443707569334	250.979499371776	296.482089676333	351.976523113062	417.489317856526	493.033810206145	578.505786214956	672.867348648634
1.8954954954955E-5	215.439845165442	250.974417505925	296.475532085219	351.968217507196	417.478993756368	493.02127113919	578.491325444723	672.85458778105
1.8978978978979E-5	215.436004640475	250.969362276855	296.469006273249	351.959949090098	417.468712341589	493.008779905663	578.476915411529	672.841867197185
1.9003003003003E-5	215.432185869031	250.964333542598	296.462512082795	351.95171768988	417.458473428032	492.996336312638	578.462555924562	672.829186760897
1.9027027027027E-5	215.428388726446	250.959331161965	296.456049357043	351.943523135496	417.448276832395	492.98394016805	578.448246793819	672.816546336562
1.9051051051051E-5	215.424613088783	250.954354994548	296.449617939994	351.935365256737	417.438122372231	492.971591280682	578.433987830097	672.803945789068
1.90750750750751E-5	215.420858832834	250.949404900707	296.443217676454	351.927243884229	417.428009865943	492.959289460169	578.419778844994	672.791384983817
1.90990990990991E-5	215.417125836113	250.944480741573	296.436848412035	351.919158849425	417.417939132776	492.947034516991	578.405619650903	672.77886378672
1.91231231231231E-5	215.41341397685	250.939582379036	296.430509993147	351.911109984605	417.407909992816	492.934826262467	578.391510061009	672.766382064196
1.91471471471471E-5	215.40972313399	250.93470967575	296.424202266993	351.903097122866	417.397922266985	492.922664508752	578.377449889281	672.753939683167
1.91711711711712E-5	215.406053187184	250.929862495118	296.417925081567	351.895120098123	417.387975777034	492.910549068832	578.363438950476	672.741536511062
1.91951951951952E-5	215.40240401679	250.925040701298	296.411678285649	351.8871787451	417.378070345545	492.898479756522	578.349477060126	672.729172415807
1.92192192192192E-5	215.398775503866	250.92024415919	296.405461728798	351.87927289933	417.368205795917	492.886456386458	578.33556403454	672.716847265827
1.92432432432432E-5	215.395167530164	250.915472734436	296.399275261352	351.871402397147	417.358381952372	492.874478774097	578.321699690801	672.704560930046
1.92672672672673E-5	215.391579978128	250.910726293416	296.39311873442	351.863567075684	417.348598639943	492.862546735708	578.307883846756	672.692313277878
1.92912912912913E-5	215.388012730892	250.906004703241	296.386991999881	351.855766772866	417.338855684472	492.850660088373	578.294116321018	672.680104179231
1.93153153153153E-5	215.38446567227	250.901307831754	296.380894910374	351.848001327411	417.329152912611	492.838818649979	578.280396932961	672.667933504503
1.93393393393393E-5	215.380938686757	250.896635547517	296.374827319303	351.840270578818	417.319490151807	492.827022239216	578.266725502714	672.655801124578
1.93633633633634E-5	215.377431659522	250.891987719816	296.368789080823	351.832574367372	417.309867230308	492.815270675573	578.25310185116	672.643706910827
1.93873873873874E-5	215.373944476406	250.887364218653	296.362780049843	351.824912534132	417.300283977154	492.80356377933	578.239525799929	672.631650735103
1.94114114114114E-5	215.370477023915	250.882764914738	296.356800082016	351.817284920929	417.290740222174	492.791901371561	578.225997171399	672.619632469741
1.94354354354354E-5	215.367029189219	250.878189679492	296.350849033742	351.809691370365	417.281235795981	492.780283274123	578.212515788687	672.607651987553
1.94594594594595E-5	215.363600860147	250.873638385038	296.344926762156	351.802131725807	417.271770529969	492.768709309658	578.19908147565	672.595709161829
1.94834834834835E-5	215.360191925181	250.8691109042	296.339033125131	351.79460583138	417.262344256309	492.757179301583	578.185694056879	672.583803866334
1.95075075075075E-5	215.356802273456	250.864607110496	296.333167981268	351.787113531966	417.252956807943	492.745693074092	578.172353357695	672.571935975306
1.95315315315315E-5	215.353431794751	250.860126878136	296.327331189896	351.779654673202	417.243608018584	492.734250452148	578.159059204147	672.560105363452
1.95555555555556E-5	215.350080379491	250.855670082017	296.321522611067	351.772229101472	417.234297722707	492.722851261481	578.145811423008	672.548311905947
1.95795795795796E-5	215.346747918738	250.85123659772	296.315742105551	351.764836663902	417.22502575555	492.711495328582	578.132609841769	672.536555478436
1.96036036036036E-5	215.343434304189	250.846826301506	296.309989534832	351.757477208363	417.215791953106	492.700182480704	578.119454288639	672.524835957023
1.96276276276276E-5	215.340139428173	250.842439070309	296.304264761106	351.750150583459	417.206596152121	492.688912545852	578.106344592541	672.51315321828
1.96516516516517E-5	215.336863183646	250.838074781738	296.298567647276	351.742856638528	417.197438190091	492.677685352784	578.093280583107	672.501507139234
1.96756756756757E-5	215.333605464188	250.833733314069	296.292898056947	351.735595223638	417.188317905256	492.666500731003	578.080262090674	672.489897597375
1.96996996996997E-5	215.330366163998	250.829414546241	296.287255854423	351.728366189579	417.179235136597	492.655358510758	578.067288946282	672.478324470644
