Pulse Number	Voltage (V)	Measurements (Ù)	Model (Ù)	VTEAM (Ù)
279	0.6	15923.90918	16452.3553076502	16482.599330036
280	0.6	16305.595703	16452.8835375301	16483.1095767839
281	0.6	16348.357422	16453.4106483652	16483.6193267786
282	0.6	16236.200195	16453.9366428266	16484.128580913
283	0.6	16389.324219	16454.4615235778	16484.6373400777
284	0.6	16292.168945	16454.9852932745	16485.1456051609
285	0.6	16337.522461	16455.507954565	16485.6533770488
286	0.6	16063.228516	16456.0295100899	16486.1606566249
287	0.6	16469.476562	16456.5499624825	16486.6674447706
288	0.6	16223.695312	16457.0693143683	16487.173742365
289	0.6	16310.21875	16457.5875683656	16487.679550285
290	0.6	16053.942383	16458.1047270849	16488.184869405
291	0.6	16553.046875	16458.6207931294	16488.6897005973
292	0.6	16263.981445	16459.1357690952	16489.194044732
293	0.6	16283.431641	16459.6496575705	16489.6979026768
294	0.6	16311.674805	16460.1624611367	16490.2012752972
295	0.6	16665.355469	16460.6741823673	16490.7041634564
296	0.6	16493.628906	16461.184823829	16491.2065680157
297	0.6	16456.777344	16461.6943880809	16491.7084898337
298	0.6	16143.918945	16462.2028776751	16492.2099297671
299	0.6	16659.533203	16462.7102951562	16492.7108886702
300	0.6	16699.533203	16463.2166430618	16493.2113673955
301	0.6	16419.341797	16463.7219239223	16493.7113667927
302	0.6	16478.267578	16464.2261402609	16494.2108877099
303	0.6	16137.633789	16464.7292945937	16494.7099309926
304	0.6	16068.18457	16465.2313894297	16495.2084974843
305	0.6	16642.216797	16465.7324272709	16495.7065880264
306	0.6	16285.84082	16466.2324106121	16496.2042034581
307	0.6	16437.216797	16466.7313419412	16496.7013446164
308	0.6	16472.339844	16467.2292237391	16497.1980123361
309	0.6	16453.644531	16467.7260584796	16497.6942074501
310	0.6	16096.920898	16468.2218486298	16498.1899307889
311	0.6	16636.845703	16468.7165966496	16498.6851831811
312	0.6	16687.011719	16469.2103049921	16499.1799654532
313	0.6	16101.536133	16469.7029761036	16499.6742784293
314	0.6	16342.951172	16470.1946124235	16500.1681229316
315	0.6	16448.332031	16470.6852163844	16500.6614997804
316	0.6	16274.118164	16471.1747904119	16501.1544097936
317	0.6	16422.001953	16471.6633369251	16501.6468537873
318	0.6	16143.368164	16472.1508583362	16502.1388325751
319	0.6	16290.216797	16472.6373570507	16502.6303469691
320	0.6	16494.488281	16473.1228354673	16503.1213977788
321	0.6	16574.394531	16473.6072959782	16503.6119858122
322	0.6	16618.796875	16474.0907409687	16504.1021118747
323	0.6	16667.414062	16474.5731728176	16504.5917767702
324	0.6	16707.849609	16475.0545938971	16505.0809813
325	0.6	16535.105469	16475.5350065728	16505.569726264
326	0.6	16799.544922	16476.0144132035	16506.0580124596
327	0.6	16536.335938	16476.4928161419	16506.5458406823
328	0.6	16723.123047	16476.9702177337	16507.0332117258
329	0.6	16452.740234	16477.4466203184	16507.5201263816
330	0.6	16409.929688	16477.922026229	16508.0065854392
331	0.6	16685.326172	16478.3964377918	16508.4925896864
332	0.6	16190.754883	16478.8698573269	16508.9781399086
333	0.6	16812.287109	16479.3422871479	16509.4632368895
334	0.6	16648.427734	16479.8137295621	16509.9478814109
335	0.6	16119.959961	16480.2841868701	16510.4320742523
336	0.6	16410.994141	16480.7536613667	16510.9158161917
337	0.6	16952.162109	16481.2221553398	16511.3991080049
338	0.6	16710.109375	16481.6896710715	16511.8819504656
339	0.6	16673.376953	16482.1562108371	16512.3643443459
340	0.6	16553.300781	16482.621776906	16512.8462904159
341	0.6	16277.824219	16483.0863715414	16513.3277894436
342	0.6	16926.689453	16483.549997	16513.8088421953
343	0.6	16684.208984	16484.0126555324	16514.2894494353
344	0.6	16393.019531	16484.4743493831	16514.7696119259
345	0.6	16666.896484	16484.9350807904	16515.2493304276
346	0.6	16497.587891	16485.3948519866	16515.7286056992
347	0.6	16135.230469	16485.8536651975	16516.2074384972
348	0.6	16538.660156	16486.3115226432	16516.6858295767
349	0.6	16547.416016	16486.7684265375	16517.1637796905
350	0.6	16445.962891	16487.2243790882	16517.6412895899
351	0.6	16637.001953	16487.6793824972	16518.118360024
352	0.6	16630.837891	16488.1334389601	16518.5949917403
353	0.6	16399.175781	16488.5865506668	16519.0711854844
354	0.6	16351.585938	16489.0387198011	16519.546942
355	0.6	16588.5625	16489.4899485407	16520.022262029
356	0.6	16482.419922	16489.9402390577	16520.4971463115
357	0.6	16257.49707	16490.389593518	16520.9715955858
358	0.6	16230.53418	16490.8380140817	16521.4456105883
359	0.6	16800.675781	16491.285502903	16521.9191920536
360	0.6	16565.320312	16491.7320621304	16522.3923407145
361	0.6	16523.546875	16492.1776939063	16522.8650573021
362	0.6	16634.398438	16492.6224003675	16523.3373425456
363	0.6	16602.216797	16493.0661836449	16523.8091971725
364	0.6	16436.90625	16493.5090458636	16524.2806219084
365	0.6	16137.53418	16493.9509891431	16524.7516174772
366	0.6	16184.633789	16494.392015597	16525.222184601
367	0.6	16342.295898	16494.8321273333	16525.6923240003
368	0.6	16071.166016	16495.2713264542	16526.1620363935
369	0.6	16888.517578	16495.7096150562	16526.6313224976
370	0.6	16617.753906	16496.1469952302	16527.1001830276
371	0.6	16712.128906	16496.5834690615	16527.568618697
372	0.6	16515.699219	16497.0190386298	16528.0366302173
373	0.6	16543.132812	16497.453706009	16528.5042182984
374	0.6	16618.183594	16497.8874732676	16528.9713836485
375	0.6	16805.046875	16498.3203424685	16529.438126974
376	0.6	16392.589844	16498.7523156689	16529.9044489797
377	0.6	16706.486328	16499.1833949207	16530.3703503687
378	0.6	16633.158203	16499.6135822702	16530.8358318421
379	0.6	16439.5625	16500.042879758	16531.3008940997
380	0.6	16828.791016	16500.4712894195	16531.7655378394
381	0.6	16612.115234	16500.8988132846	16532.2297637574
382	0.6	16380.339844	16501.3254533777	16532.6935725484
383	0.6	16640.685547	16501.7512117177	16533.1569649051
384	0.6	16791.162109	16502.1760903182	16533.6199415188
385	0.6	16249.181641	16502.6000911874	16534.0825030791
386	0.6	16700.042969	16503.0232163281	16534.5446502739
387	0.6	16688.160156	16503.4454677378	16535.0063837893
388	0.6	16814.556641	16503.8668474087	16535.46770431
389	0.6	16242.28125	16504.2873573274	16535.928612519
390	0.6	16734.880859	16504.7069994756	16536.3891090974
391	0.6	16815.857422	16505.1257758294	16536.849194725
392	0.6	16757.001953	16505.5436883598	16537.3088700799
393	0.6	16900.263672	16505.9607390326	16537.7681358384
394	0.6	16755.949219	16506.3769298083	16538.2269926753
395	0.6	16726.095703	16506.7922626421	16538.6854412638
396	0.6	16678.03125	16507.206739484	16539.1434822756
397	0.6	16818.582031	16507.620362279	16539.6011163805
398	0.6	16268.544922	16508.0331329669	16540.0583442469
399	0.6	16938.238281	16508.4450534822	16540.5151665416
400	0.6	16294.538086	16508.8561257543	16540.9715839297
401	0.6	16277.382812	16509.2663517077	16541.427597075
402	0.6	16619.142578	16509.6757332615	16541.8832066394
403	0.6	16655.457031	16510.08427233	16542.3384132833
404	0.6	16381.068359	16510.4919708223	16542.7932176657
405	0.6	16994.800781	16510.8988306423	16543.2476204438
406	0.6	16480.306641	16511.3048536892	16543.7016222734
407	0.6	16352.967773	16511.710041857	16544.1552238087
408	0.6	16790.042969	16512.1143970346	16544.6084257023
409	0.6	17046.669922	16512.5179211062	16545.0612286054
410	0.6	16363.789062	16512.9206159508	16545.5136331676
