time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -1 V	Vb = -1.15 V	Vb = -1.3 V	Vb = -1.45 V	Vb = -1.6 V	Vb = -1.75 V
6.096E-6	249.989775664582	249.999763521791	250.939958861828	285.18634657963	592.293348985767	879.167328135802
6.12E-6	249.98977576094	249.999802939816	250.943694380778	285.31724380998	592.862028933051	879.463646183559
6.144E-6	249.989775857298	249.999842357836	250.947429856982	285.44808352567	593.428248367534	879.758527657419
6.168E-6	249.989775953656	249.999881775852	250.95116529044	285.578865757125	593.992024810103	880.051985302868
6.192E-6	249.989776050014	249.999921193862	250.954900681154	285.70959053476	594.553375613705	880.344031702303
6.216E-6	249.989776146371	249.999960611868	250.958636029123	285.840257888975	595.112317965331	880.634679277752
6.24E-6	249.989776242729	250.00000002987	250.962371334348	285.970867850163	595.66886888796	880.923940293529
6.264E-6	249.989776339087	250.000039447866	250.966106596829	286.101420448702	596.223045242487	881.211826858843
6.288E-6	249.989776435445	250.000078865858	250.969841816568	286.231915714958	596.77486372962	881.498350930351
6.312E-6	249.989776531803	250.000118283845	250.973576993564	286.362353679287	597.324340891753	881.783524314662
6.336E-6	249.989776628161	250.000157701827	250.977312127819	286.492734372031	597.871493114812	882.067358670783
6.36E-6	249.989776724519	250.000197119805	250.981047219332	286.623057823522	598.416336630078	882.349865512527
6.384E-6	249.989776820876	250.000236537777	250.984782268105	286.753324064079	598.958887515981	882.631056210864
6.408E-6	249.989776917234	250.000275955745	250.988517274137	286.88353312401	599.499161699876	882.910941996226
6.432E-6	249.989777013592	250.000315373709	250.992252237431	287.01368503361	600.03717495979	883.189533960775
6.456E-6	249.98977710995	250.000354791667	250.995987157985	287.143779823163	600.572942926145	883.466843060612
6.48E-6	249.989777206308	250.000394209621	250.9997220358	287.273817522942	601.106481083465	883.742880117957
6.504E-6	249.989777302666	250.00043362757	251.003456870878	287.403798163205	601.637804772049	884.017655823274
6.528E-6	249.989777399024	250.000473045514	251.007191663218	287.533721774201	602.166929189634	884.291180737361
6.552E-6	249.989777495382	250.000512463454	251.010926412822	287.663588386167	602.693869393022	884.563465293402
6.576E-6	249.989777591739	250.000551881389	251.014661119689	287.793398029326	603.218640299697	884.834519798968
6.6E-6	249.989777688097	250.000591299319	251.018395783821	287.92315073389	603.741256689415	885.104354437992
6.624E-6	249.989777784455	250.000630717244	251.022130405217	288.05284653006	604.261733205772	885.3729792727
6.648E-6	249.989777880813	250.000670135164	251.025864983879	288.182485448025	604.780084357753	885.640404245503
6.672E-6	249.989777977171	250.00070955308	251.029599519807	288.31206751796	605.296324521264	885.906639180856
6.696E-6	249.989778073529	250.000748970991	251.033334013002	288.44159277003	605.810467940632	886.171693787081
6.72E-6	249.989778169887	250.000788388898	251.037068463463	288.571061234388	606.3225287301	886.435577658155
6.744E-6	249.989778266244	250.000827806799	251.040802871192	288.700472941174	606.832520875293	886.698300275466
6.768E-6	249.989778362602	250.000867224696	251.044537236189	288.829827920517	607.340458234662	886.959871009529
6.792E-6	249.98977845896	250.000906642588	251.048271558455	288.959126202533	607.846354540923	887.220299121682
6.816E-6	249.989778555318	250.000946060475	251.05200583799	289.088367817326	608.350223402458	887.479593765736
6.84E-6	249.989778651676	250.000985478358	251.055740074796	289.21755279499	608.852078304714	887.737763989606
6.864E-6	249.989778748034	250.001024896236	251.059474268871	289.346681165604	609.351932611574	887.994818736906
6.888E-6	249.989778844392	250.001064314109	251.063208420217	289.475752959236	609.849799566713	888.250766848515
6.912E-6	249.989778940749	250.001103731977	251.066942528835	289.604768205945	610.345692294938	888.505617064114
6.936E-6	249.989779037107	250.001143149841	251.070676594725	289.733726935773	610.839623803506	888.759378023694
6.96E-6	249.989779133465	250.001182567699	251.074410617887	289.862629178753	611.331606983431	889.012058269044
6.984E-6	249.989779229823	250.001221985553	251.078144598323	289.991474964906	611.821654610769	889.263666245196
7.008E-6	249.989779326181	250.001261403403	251.081878536032	290.120264324239	612.309779347886	889.514210301861
7.032E-6	249.989779422539	250.001300821247	251.085612431016	290.248997286748	612.795993744715	889.763698694824
7.056E-6	249.989779518897	250.001340239087	251.089346283274	290.377673882419	613.28031023999	890.01213958733
7.08E-6	249.989779615255	250.001379656922	251.093080092807	290.506294141222	613.76274116247	890.259541051424
7.104E-6	249.989779711612	250.001419074753	251.096813859617	290.634858093118	614.243298732144	890.505911069291
7.128E-6	249.98977980797	250.001458492578	251.100547583703	290.763365768054	614.721995061416	890.751257534549
7.152E-6	249.989779904328	250.001497910399	251.104281265066	290.891817195966	615.19884215629	890.995588253537
7.176E-6	249.989780000686	250.001537328215	251.108014903706	291.020212406777	615.673851917519	891.238910946569
7.2E-6	249.989780097044	250.001576746026	251.111748499625	291.1485514304	616.147036141757	891.481233249172
7.224E-6	249.989780193402	250.001616163833	251.115482052822	291.276834296733	616.618406522683	891.722562713296
7.248E-6	249.98978028976	250.001655581635	251.119215563298	291.405061035663	617.087974652124	891.962906808511
7.272E-6	249.989780386117	250.001694999432	251.122949031054	291.533231677066	617.55575202115	892.202272923174
7.296E-6	249.989780482475	250.001734417224	251.126682456091	291.661346250805	618.021750021165	892.440668365584
7.32E-6	249.989780578833	250.001773835012	251.130415838408	291.789404786729	618.485979944979	892.678100365109
7.344E-6	249.989780675191	250.001813252795	251.134149178006	291.917407314678	618.94845298787	892.914576073299
7.368E-6	249.989780771549	250.001852670573	251.137882474887	292.045353864478	619.409180248628	893.150102564979
7.392E-6	249.989780867907	250.001892088346	251.14161572905	292.173244465944	619.86817273059	893.384686839319
7.416E-6	249.989780964265	250.001931506115	251.145348940496	292.301079148877	620.325441342661	893.618335820894
7.44E-6	249.989781060623	250.001970923879	251.149082109226	292.428857943067	620.780996900318	893.851056360713
7.464E-6	249.98978115698	250.002010341638	251.15281523524	292.556580878292	621.234850126611	894.082855237245
7.488E-6	249.989781253338	250.002049759392	251.156548318538	292.684247984317	621.687011653139	894.313739157416
7.512E-6	249.989781349696	250.002089177142	251.160281359122	292.811859290896	622.137492021023	894.543714757594
7.536E-6	249.989781446054	250.002128594887	251.164014356992	292.939414827769	622.586301681866	894.772788604561
7.56E-6	249.989781542412	250.002168012627	251.167747312148	293.066914624666	623.033450998694	895.000967196458
7.584E-6	249.98978163877	250.002207430362	251.171480224591	293.194358711303	623.478950246895	895.228256963724
7.608E-6	249.989781735128	250.002246848093	251.175213094321	293.321747117384	623.922809615138	895.454664270016
7.632E-6	249.989781831485	250.002286265819	251.17894592134	293.449079872601	624.365039206285	895.680195413113
7.656E-6	249.989781927843	250.00232568354	251.182678705647	293.576357006635	624.805649038294	895.904856625804
7.68E-6	249.989782024201	250.002365101256	251.186411447243	293.703578549152	625.244649045103	896.128654076764
7.704E-6	249.989782120559	250.002404518968	251.190144146129	293.830744529809	625.682049077509	896.351593871416
7.728E-6	249.989782216917	250.002443936675	251.193876802305	293.957854978248	626.117858904037	896.57368205277
7.752E-6	249.989782313275	250.002483354377	251.197609415771	294.0849099241	626.552088211794	896.794924602263
7.776E-6	249.989782409633	250.002522772074	251.201341986529	294.211909396984	626.984746607317	897.015327440573
7.8E-6	249.98978250599	250.002562189767	251.205074514579	294.338853426506	627.415843617403	897.234896428424
7.824E-6	249.989782602348	250.002601607455	251.208806999922	294.465742042259	627.845388689942	897.453637367378
7.848E-6	249.989782698706	250.002641025138	251.212539442557	294.592575273826	628.273391194724	897.671556000617
7.872E-6	249.989782795064	250.002680442816	251.216271842486	294.719353150775	628.69986042425	897.888658013703
7.896E-6	249.989782891422	250.00271986049	251.220004199709	294.846075702664	629.124805594524	898.10494903534
7.92E-6	249.98978298778	250.002759278159	251.223736514226	294.972742959038	629.54823584584	898.320434638108
7.944E-6	249.989783084138	250.002798695823	251.227468786039	295.099354949429	629.970160243557	898.535120339198
7.968E-6	249.989783180496	250.002838113482	251.231201015147	295.225911703356	630.390587778864	898.749011601128
7.992E-6	249.989783276853	250.002877531137	251.234933201552	295.352413250328	630.809527369544	898.962113832449
8.016E-6	249.989783373211	250.002916948787	251.238665345254	295.47885961984	631.226987860712	899.174432388445
8.04E-6	249.989783469569	250.002956366432	251.242397446253	295.605250841375	631.642978025564	899.385972571811
8.064E-6	249.989783565927	250.002995784073	251.24612950455	295.731586944404	632.057506566101	899.596739633332
8.088E-6	249.989783662285	250.003035201708	251.249861520145	295.857867958384	632.470582113851	899.806738772542
