time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
1.152E-6	731.824907512927	692.367818342024	613.900145765519	530.986808171333	458.698309212928	397.042488997168	343.90782416895	297.486461127452
1.176E-6	731.647463636253	691.677438986444	612.867050071438	529.952183452937	457.735753330402	396.149659564482	343.073270220741	296.700089046705
1.2E-6	731.470527276913	690.995056544352	611.853526972485	528.939240054543	456.793689380914	395.275839991129	342.256440468683	295.930372965081
1.224E-6	731.294095648926	690.320494322552	610.858871552834	527.947113151486	455.871285185336	394.420256698678	341.456614322412	295.176636645882
1.248E-6	731.11816598887	689.65358134504	609.882415879575	526.974988138805	454.967757792511	393.582181995548	340.673113920932	294.438243916755
1.272E-6	730.942735555636	688.99415211063	608.923526475019	526.02209683649	454.082369689285	392.760930533416	339.905300832956	293.714595577716
1.296E-6	730.767801630196	688.342046363241	607.981602000578	525.08771404541	453.214425367378	391.955856098357	339.152573068974	293.005126601157
1.32E-6	730.593361515362	687.69710887405	607.056071131358	524.171154415825	452.363268207589	391.16634869952	338.41436237042	292.30930359141
1.344E-6	730.419412535558	687.059189234802	606.146390602975	523.271769595113	451.528277646852	390.391831922909	337.69013174572	291.626622475549
1.368E-6	730.245952036593	686.428141661582	605.252043414157	522.388945625418	450.708866597917	389.631760521868	336.97937322675	290.956606400682
1.392E-6	730.07297738543	685.803824808434	604.372537170485	521.522100565453	449.904479095166	388.885618219331	336.281605822504	290.298803815982
1.416E-6	729.90048596997	685.186101590238	603.50740255621	520.670682313726	449.114588143225	388.152915699956	335.596373649566	289.652786720345
1.44E-6	729.728475198826	684.574839014297	602.656191922478	519.834166613098	448.338693747806	387.433188772802	334.923244221387	289.018149058841
1.464E-6	729.556942501111	683.969908020135	601.818477981497	519.012055218886	447.576321110593	386.72599668749	334.26180688048	288.394505253058
1.488E-6	729.385885326223	683.371183327019	600.993852597282	518.203874214715	446.827018972085	386.03092058875	333.611671359462	287.781488852169
1.512E-6	729.21530114363	682.778543288775	600.18192566453	517.409172462071	446.090358088088	385.347562095941	332.972466458463	287.178751293036
1.536E-6	729.045187442666	682.191869755479	599.382324068077	516.627520171062	445.365929827167	384.675541995633	332.343838827803	286.58596075895
1.56E-6	728.875541732324	681.611047941638	598.594690716077	515.858507581184	444.653344877723	384.014499036642	331.725451846063	286.002801127761
1.584E-6	728.706361541052	681.035966300498	597.818683640743	515.101743742138	443.952232054595	383.364088818044	331.116984584724	285.428971001135
1.608E-6	728.537644416551	680.466516404147	597.053975161084	514.35685538573	443.262237196154	382.723982761711	330.5181308515	284.864182807543
1.632E-6	728.369387925581	679.902592829091	596.300251102587	513.623485880827	442.583022143783	382.093867161776	329.928598305302	284.308161972401
1.656E-6	728.201589653762	679.344093047006	595.557210069258	512.901294264153	441.914263796492	381.47344230425	329.348107636502	283.760646149392
1.68E-6	728.034247205383	678.790917320395	594.8245627639	512.189954340441	441.25565323413	380.862421650653	328.776391806812	283.221384507672
1.704E-6	727.86735820321	678.242968602881	594.102031352813	511.489153846058	440.606894903325	380.260531080185	328.213195343656	282.69013707014
1.728E-6	727.700920288299	677.700152443894	593.389348871526	510.79859367084	439.96770586084	379.667508185463	327.658273684423	282.166674098473
1.752E-6	727.534931119809	677.162376897532	592.686258668393	510.117987133334	439.337815069584	379.083101617371	327.111392566426	281.650775520999
1.776E-6	727.36938837482	676.629552435357	591.99251388323	509.447059305132	438.716962742922	378.507070474951	326.572327458819	281.142230399894
1.8E-6	727.204289748152	676.101591862951	591.307876958366	508.785546380356	438.104899733398	377.9391837367	326.040863033052	280.640836434512
1.824E-6	727.039632952183	675.578410240019	590.632119179726	508.133195086734	437.501386962284	377.379219729938	325.516792668763	280.146399497939
1.848E-6	726.875415716678	675.059924803868	589.965020245781	507.489762135029	436.906194886768	376.826965635238	324.999917992333	279.658733204152
1.872E-6	726.711635788609	674.546054896099	589.306367862343	506.855013703859	436.319103001813	376.28221702318	324.490048445517	279.17765850339
1.896E-6	726.548290931985	674.036721892337	588.655957361381	506.228724957228	435.739899374037	375.744777420935	323.987000881858	278.703003303566
1.92E-6	726.385378927685	673.531849134866	588.01359134218	505.6106795923	435.16838020518	375.214457906403	323.490599188755	278.234602115729
1.944E-6	726.222897573285	673.031361868009	587.379079333274	505.000669415189	434.60434942293	374.691076727847	323.000673933255	277.772295721778
1.968E-6	726.060844682893	672.535187176141	586.75223747376	504.398493942705	434.047618297079	374.174458947105	322.517062029818	277.31593086277
1.992E-6	725.899218086989	672.043253924186	586.13288821264	503.803960028165	433.498005079167	373.664436104675	322.039606428431	276.865359946308
2.016E-6	725.738015632259	671.555492700498	585.52086002502	503.216881509578	432.955334663895	373.160845905069	321.568155821596	276.42044077164
2.04E-6	725.577235181438	671.071835762001	584.915987144024	502.637078878585	432.419438270763	372.663531920994	321.102564368852	275.981036271182
2.064E-6	725.416874613149	670.592216981486	584.318109307397	502.06437896874	431.890153144505	372.172343315018	320.642691437572	275.547014267316
2.088E-6	725.256931821749	670.116571796964	583.727071517857	501.498614661763	431.36732227299	371.687134577508	320.18840135891	275.11824724339
2.112E-6	725.097404717176	669.644837162981	583.142723816289	500.939624610562	430.85079412141	371.207765279702	319.739563197842	274.69461212794
2.136E-6	724.938291224796	669.176951503805	582.564921066989	500.38725297788	430.340422381615	370.734099840888	319.296050536339	274.27599009122
2.16E-6	724.77958928525	668.712854668392	581.993522754185	499.841349189522	429.836065735591	370.266007308737	318.857741268789	273.862266353225
2.184E-6	724.62129685431	668.252487887063	581.428392789142	499.301767701204	429.337587632131	369.8033611519	318.424517408834	273.453330002423
2.208E-6	724.463411902727	667.795793729809	580.869399327189	498.76836777813	428.844856075821	369.346039064065	317.996264906887	273.049073824497
2.232E-6	724.305932416092	667.342716066142	580.316414594078	498.24101328648	428.357743427548	368.893922778728	317.572873477607	272.649394140437
2.256E-6	724.148856394689	666.893200026448	579.76931472109	497.719572496029	427.87612621577	368.446897893968	317.154236436714	272.254190653378
2.28E-6	723.992181853352	666.447191964742	579.227979588392	497.203917893221	427.39988495788	368.004853706611	316.740250546519	271.863366303628
2.304E-6	723.83590682133	666.004639422801	578.692292676132	496.693926004014	426.928903991001	367.567683055153	316.330815869634	271.47682713136
2.328E-6	723.680029342146	665.565491095578	578.162140922828	496.189477225913	426.46307131164	367.13528217093	315.925835630341	271.094482146497
2.352E-6	723.524547473459	665.129696797881	577.637414590638	495.690455668605	426.002278423646	366.707550536993	315.525216083152	270.716243205325
2.376E-6	723.369459286932	664.69720743222	577.118007137092	495.196749002695	425.546420193954	366.284390754232	315.128866388105	270.342024893454
2.4E-6	723.214762868098	664.267974957813	576.603815092939	494.708248316041	425.095394715658	365.865708414295	314.736698492401	269.971744414696
2.424E-6	723.060456316227	663.841952360675	576.094737945752	494.22484797724	424.649103177954	365.451411978909	314.348627017989	269.60532148555
2.448E-6	722.906537744197	663.419093624755	575.590678028976	493.746445505838	424.207449742562	365.041412665205	313.964569154751	269.242678234922
2.472E-6	722.753005278364	662.999353704077	575.091540416108	493.272941448884	423.770341426229	364.635624336698	313.584444558949	268.883739108795
2.496E-6	722.599857058438	662.58268849584	574.597232819738	492.804239263447	423.337687988965	364.233963399597	313.208175256637	268.528430779548
2.52E-6	722.447091237353	662.169054814445	574.107665495178	492.340245204754	422.909401827681	363.836348704126	312.835685551739	268.176682059661
2.544E-6	722.294705981148	661.7584103664	573.622751148437	491.880868219649	422.485397874919	363.442701450577	312.466901938535	267.828423819546
2.568E-6	722.142699468837	661.350713726079	573.142404848304	491.426019845044	422.065593502381	363.052945099825	312.101753018291	267.483588909281
2.592E-6	721.991069892297	660.945924312297	572.666543942332	490.97561411111	421.649908428993	362.667005288039	311.740169419822	267.142112084018
2.616E-6	721.839815456139	660.544002365657	572.195087976497	490.529567448931	421.238264633244	362.284809745385	311.38208372374	266.803929932864
2.64E-6	721.688934377597	660.144908926661	571.727958618369	490.087798602381	420.830586269568	361.906288218465	311.027430390211	266.468980811042
2.664E-6	721.538424886406	659.748605814532	571.265079583589	489.650228543993	420.426799588556	361.531372396319	310.676145690008	266.137204775156
2.688E-6	721.388285224686	659.355055606737	570.806376565498	489.216780394615	420.026832860768	361.159995839771	310.328167638693	265.808543521382
2.712E-6	721.238513646833	658.964221619171	570.351777167743	488.787379346629	419.630616303979	360.792093913955	309.98343593375	265.482940326441
2.736E-6	721.0891084194	658.576067886983	569.901210839733	488.361952590577	419.23808201365	360.427603723847	309.641891894527	265.160339991196
2.76E-6	720.940067820988	658.190559146018	569.454608814777	487.940429244978	418.849163896476	360.066464052641	309.30347840482	264.840688786733
2.784E-6	720.791390142133	657.807660814852	569.011904050788	487.522740289208	418.463797606836	359.708615302825	308.968139857971	264.523934402807
2.808E-6	720.643073685201	657.427338977395	568.573031173422	487.108818499251	418.081920485993	359.353999439811	308.635822104351	264.210025898521
2.832E-6	720.495116764277	657.049560366044	568.137926421533	486.698598386202	417.703471503918	359.00255993799	308.3064724011	263.898913655119
2.856E-6	720.347517705057	656.674292345364	567.706527594828	486.292016137365	417.328391203584	358.654241729096	307.980039364007	263.590549330798
2.88E-6	720.200274844746	656.301502896273	567.278774003629	485.889009559824	416.956621647623	358.308991152742	307.656472921431	263.28488581743
2.904E-6	720.053386531948	655.931160600723	566.854606420622	485.489518026358	416.588106367207	357.966755909041	307.335724270149	262.981877199092
2.928E-6	719.906851126572	655.563234626849	566.433967034522	485.093482423593	416.22279031307	357.627485013197	307.017745833044	262.681478712326
2.952E-6	719.760666999718	655.197694714567	566.016799405543	484.700845102271	415.860619808538	357.291128751964	306.702491218538	262.383646708034
2.976E-6	719.614832533586	654.834511161621	565.603048422605	484.311549829543	415.501542504479	356.957638641894	306.389915181682	262.088338614932
3E-6	719.469346121373	654.473654810039	565.192660262186	483.925541743176	415.145507336095	356.626967389279	306.07997358683	261.79551290449
3.024E-6	719.324206167169	654.115097033008	564.785582348753	483.542767307599	414.792464481433	356.299068851703	305.77262337181	261.505129057276
3.048E-6	719.179411085869	653.758809722129	564.381763316698	483.163174271687	414.442365321571	355.973898001135	305.467822513536	261.217147530648
3.072E-6	719.03495930307	653.404765275058	563.981152973701	482.786711628201	414.095162402369	355.651410888483	305.165529994972	260.93152972773
3.096E-6	718.890849254975	653.05293658351	563.58370226547	482.413329574823	413.750809397731	355.331564609544	304.8657057734	260.648237967596
3.12E-6	718.747079388305	652.703297021617	563.189363241798	482.04297947669	413.409261074295	355.01431727228	304.568310749929	260.367235456631
3.144E-6	718.603648160196	652.355820434615	562.798089023853	481.675613830371	413.070473257496	354.699627965366	304.273306740181	260.088486260986
3.168E-6	718.460554038117	652.010481127879	562.409833772687	481.311186229223	412.734402798924	354.387456727946	303.980656446104	259.811955280104
3.192E-6	718.31779549977	651.667253856251	562.024552658874	480.949651330052	412.401007544937	354.077764520539	303.690323428862	259.537608221246
3.216E-6	718.175371033006	651.326113813693	561.642201833255	480.590964821033	412.070246306452	353.770513197054	303.402272082748	259.265411574984
3.24E-6	718.033279135731	650.987036623226	561.262738398723	480.235083390823	411.742078829877	353.46566547785	303.11646761008	258.995332591615
3.264E-6	717.891518315822	650.649998327154	560.886120383019	479.88196469882	411.416465769126	353.163184923804	302.832875997032	258.727339258452
3.288E-6	717.750087091036	650.314975377568	560.512306712482	479.531567346515	411.093368658667	352.863035911341	302.551463990362	258.461400277957
3.312E-6	717.608983988924	649.981944627112	560.141257186732	479.18385084989	410.772749887562	352.56518360838	302.272199074988	258.197485046679
3.336E-6	717.468207546749	649.650883320009	559.772932454221	478.838775612816	410.454572674456	352.269593951156	301.995049452392	257.935563634954
3.36E-6	717.327756311396	649.321769083336	559.407293988644	478.49630290141	410.138801043467	351.976233621891	301.719984019803	257.675606767344
3.384E-6	717.187628839293	648.99457991854	559.044304066151	478.156394819304	409.825399800949	351.685070027252	301.44697235012	257.417585803782
3.408E-6	717.047823696328	648.669294193182	558.683925743342	477.819014283798	409.514334513078	351.396071277599	301.175984672567	257.161472721383
3.432E-6	716.908339457762	648.345890632914	558.326122836008	477.484125002846	409.205571484241	351.109206166951	300.906991854025	256.907240096906
3.456E-6	716.769174708155	648.024348313669	557.970859898591	477.151691452853	408.899077736175	350.82444415367	300.639965381018	256.65486108983
3.48E-6	716.63032804128	647.704646654063	557.618102204324	476.821678857243	408.594820987847	350.541755341813	300.37487734234	256.404309426021
