time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V	Vb = 9 V	Vb = 9.2 V	Vb = 9.5 V
3.11311311311311E-4	1182626.36070941	1240763.09073527	1291646.25205359	1386123.96365722
3.12312312312312E-4	1182107.26397798	1240243.69143494	1291126.75631661	1385604.60585393
3.13313313313313E-4	1181589.83993531	1239725.96393109	1290608.93128225	1385086.91554486
3.14314314314314E-4	1181074.07791675	1239209.89756766	1290092.76630491	1384570.88211507
3.15315315315315E-4	1180559.96735932	1238695.48179012	1289578.25084042	1384056.49505065
3.16316316316316E-4	1180047.49780039	1238182.70614425	1289065.37444476	1383543.74393743
3.17317317317317E-4	1179536.65887649	1237671.56027481	1288554.12677278	1383032.61845977
3.18318318318318E-4	1179027.44032197	1237162.03392431	1288044.49757695	1382523.10839927
3.19319319319319E-4	1178519.83196783	1236654.11693182	1287536.47670616	1382015.2036336
3.2032032032032E-4	1178013.82374051	1236147.79923172	1287030.05410451	1381508.89413523
3.21321321321321E-4	1177509.40566065	1235643.07085253	1286525.21981009	1381004.16997033
3.22322322322322E-4	1177006.567842	1235139.92191572	1286021.96395387	1380501.02129756
3.23323323323323E-4	1176505.30049018	1234638.34263461	1285520.27675849	1379999.43836692
3.24324324324324E-4	1176005.5939016	1234138.32331316	1285020.14853717	1379499.41151865
3.25325325325325E-4	1175507.43846233	1233639.85434491	1284521.56969257	1379000.93118211
3.26326326326326E-4	1175010.82464698	1233142.92621188	1284024.5307157	1378503.98787468
3.27327327327327E-4	1174515.74301766	1232647.52948344	1283529.02218485	1378008.57220068
3.28328328328328E-4	1174022.18422285	1232153.65481529	1283035.03476452	1377514.67485033
3.29329329329329E-4	1173530.13899639	1231661.2929484	1282542.55920434	1377022.2865987
3.3033033033033E-4	1173039.59815646	1231170.43470795	1282051.5863381	1376531.39830465
3.31331331331331E-4	1172550.5526045	1230681.07100235	1281562.10708266	1376042.00090987
3.32332332332332E-4	1172062.99332427	1230193.19282221	1281074.11243703	1375554.08543786
3.33333333333333E-4	1171576.91138081	1229706.79123936	1280587.5934813	1375067.64299292
3.34334334334334E-4	1171092.29791951	1229221.85740588	1280102.54137572	1374582.66475924
3.35335335335335E-4	1170609.14416511	1228738.38255313	1279618.94735975	1374099.14199988
3.36336336336336E-4	1170127.44142078	1228256.35799082	1279136.80275106	1373617.0660559
3.37337337337337E-4	1169647.18106718	1227775.77510607	1278656.09894467	1373136.42834538
3.38338338338338E-4	1169168.35456153	1227296.6253625	1278176.82741198	1372657.22036254
3.39339339339339E-4	1168690.95343675	1226818.90029931	1277698.97969992	1372179.43367681
3.4034034034034E-4	1168214.96930049	1226342.59153043	1277222.54742999	1371703.05993201
3.41341341341341E-4	1167740.39383434	1225867.69074357	1276747.52229747	1371228.0908454
3.42342342342342E-4	1167267.2187929	1225394.18969946	1276273.89607048	1370754.51820687
3.43343343343343E-4	1166795.43600297	1224922.08023089	1275801.66058919	1370282.33387807
3.44344344344344E-4	1166325.03736267	1224451.35424194	1275330.80776494	1369811.52979161
3.45345345345345E-4	1165856.01484066	1223982.00370715	1274861.32957943	1369342.09795019
