time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -1 V	Vb = -1.15 V	Vb = -1.3 V	Vb = -1.45 V	Vb = -1.6 V	Vb = -1.75 V
5.90990990990991E-6	889.427836834468	716.151964809363	572.901975290961	460.140823112285	379.434895814922	331.560764744935
5.93393393393393E-6	889.600124394466	716.328514129735	573.082374805981	460.321945785513	379.606226489147	331.710325749822
5.95795795795796E-6	889.771520836818	716.504169301992	573.261881241385	460.502202366209	379.776798779043	331.85930974886
5.98198198198198E-6	889.942033492698	716.678937654162	573.440501876318	460.681599779661	379.946618349629	332.007720503557
6.00600600600601E-6	890.111669605095	716.852826426153	573.618243902598	460.860144869438	380.115690803377	332.155561739156
6.03003003003003E-6	890.280436330224	717.025842771157	573.7951144261	461.037844398668	380.284021681126	332.302837145095
6.05405405405405E-6	890.4483407389	717.197993757033	573.971120468128	461.214705051293	380.451616462984	332.449550375467
6.07807807807808E-6	890.615389817897	717.369286367653	574.146268966743	461.390733433302	380.618480569208	332.595705049472
6.1021021021021E-6	890.781590471268	717.539727504233	574.320566778079	461.565936073937	380.784619361079	332.741304751855
6.12612612612613E-6	890.946949521652	717.709323986627	574.494020677626	461.740319426879	380.950038141751	332.886353033347
6.15015015015015E-6	891.111473711542	717.878082554603	574.66663736149	461.913889871407	381.114742157086	333.030853411089
6.17417417417417E-6	891.275169704538	718.046009869089	574.838423447624	462.086653713538	381.27873659648	333.174809369058
6.1981981981982E-6	891.438044086573	718.213112513402	575.009385477047	462.258617187145	381.442026593669	333.318224358482
6.22222222222222E-6	891.600103367112	718.379396994445	575.179529915024	462.429786455051	381.60461722752	333.461101798247
6.24624624624625E-6	891.761353980332	718.544869743884	575.348863152235	462.600167610108	381.766513522813	333.603445075301
6.27027027027027E-6	891.921802286278	718.709537119306	575.517391505916	462.769766676248	381.927720451007	333.745257545053
6.29429429429429E-6	892.081454571998	718.87340540535	575.685121220983	462.938589609522	382.088242930985	333.886542531758
6.31831831831832E-6	892.240317052652	719.03648081482	575.852058471125	463.106642299114	382.248085829802	334.027303328908
6.34234234234234E-6	892.398395872608	719.19876948977	576.018209359889	463.273930568336	382.407253963402	334.167543199603
6.36636636636637E-6	892.555697106506	719.360277502582	576.183579921735	463.440460175612	382.565752097339	334.30726537693
6.39039039039039E-6	892.712226760316	719.521010857009	576.348176123076	463.606236815434	382.723584947469	334.446473064328
6.41441441441441E-6	892.867990772359	719.680975489206	576.512003863296	463.771266119304	382.880757180646	334.585169435947
6.43843843843844E-6	893.022995014331	719.840177268743	576.675068975749	463.935553656664	383.037273415393	334.723357637006
6.46246246246246E-6	893.177245292283	719.998621999594	576.837377228744	464.099104935801	383.19313822257	334.861040784145
6.48648648648649E-6	893.330747347602	720.156315421112	576.998934326505	464.261925404737	383.348356126028	334.998221965765
6.51051051051051E-6	893.483506857968	720.313263208983	577.159745910116	464.424020452109	383.502931603249	335.134904242376
6.53453453453453E-6	893.635529438286	720.469470976167	577.319817558453	464.585395408029	383.656869085978	335.271090646923
6.55855855855856E-6	893.786820641617	720.624944273812	577.47915478909	464.746055544924	383.810172960844	335.406784185122
6.58258258258258E-6	893.937385960072	720.779688592165	577.637763059199	464.906006078367	383.962847569972	335.541987835784
6.60660660660661E-6	894.087230825707	720.933709361455	577.795647766423	465.065252167893	384.114897211579	335.676704551132
6.63063063063063E-6	894.236360611394	721.087011952766	577.952814249741	465.223798917798	384.266326140569	335.81093725712
6.65465465465465E-6	894.384780631673	721.239601678891	578.109267790316	465.381651377923	384.417138569108	335.944688853743
6.67867867867868E-6	894.532496143598	721.391483795173	578.265013612324	465.538814544428	384.567338667197	336.077962215341
6.7027027027027E-6	894.67951234756	721.542663500328	578.420056883772	465.695293360547	384.716930563232	336.210760190903
6.72672672672673E-6	894.825834388097	721.693145937261	578.574402717299	465.851092717336	384.865918344556	336.343085604363
6.75075075075075E-6	894.97146735469	721.842936193853	578.728056170965	466.006217454404	385.014306058001	336.474941254892
6.77477477477477E-6	895.116416282551	721.992039303749	578.881022249025	466.160672360628	385.162097710423	336.606329917191
6.7987987987988E-6	895.260686153381	722.140460247125	579.033305902687	466.314462174866	385.309297269224	336.73725434177
6.82282282282282E-6	895.404281896135	722.288203951439	579.184912030863	466.467591586644	385.455908662869	336.867717255229
6.84684684684685E-6	895.547208387757	722.435275292176	579.335845480897	466.620065236845	385.601935781396	336.997721360539
6.87087087087087E-6	895.689470453913	722.581679093574	579.486111049292	466.771887718372	385.747382476913	337.127269337309
6.89489489489489E-6	895.831072869702	722.727420129337	579.635713482412	466.923063576814	385.892252564091	337.256363842057
6.91891891891892E-6	895.972020360363	722.872503123344	579.784657477185	467.07359731109	386.036549820644	337.385007508474
6.94294294294294E-6	896.112317601966	723.016932750333	579.932947681779	467.223493374083	386.18027798781	337.513202947683
6.96696696696697E-6	896.25196922209	723.160713636585	580.080588696283	467.372756173273	386.323440770817	337.640952748501
6.99099099099099E-6	896.390979800491	723.303850360587	580.22758507336	467.521390071343	386.46604183934	337.768259477687
7.01501501501502E-6	896.529353869757	723.44634745369	580.373941318901	467.669399386791	386.60808482796	337.895125680192
7.03903903903904E-6	896.667095915957	723.588209400754	580.519661892661	467.816788394523	386.749573336606	338.021553879411
7.06306306306306E-6	896.804210379268	723.72944064078	580.664751208887	467.963561326435	386.890510930994	338.147546577419
7.08708708708709E-6	896.940701654606	723.870045567531	580.809213636937	468.109722371988	387.030901143064	338.273106255213
7.11111111111111E-6	897.076574092233	724.010028530148	580.953053501882	468.255275678777	387.170747471397	338.398235372951
7.13513513513513E-6	897.21183199836	724.149393833751	581.096275085106	468.400225353085	387.310053381642	338.522936370181
7.15915915915916E-6	897.346479635743	724.288145740028	581.238882624889	468.544575460426	387.448822306922	338.647211666069
7.18318318318318E-6	897.480521224261	724.42628846782	581.380880316989	468.688330026089	387.587057648241	338.77106365963
7.20720720720721E-6	897.613960941488	724.56382619369	581.522272315199	468.831493035662	387.724762774887	338.894494729951
7.23123123123123E-6	897.746802923262	724.700763052488	581.663062731915	468.974068435555	387.861941024818	339.017507236405
7.25525525525525E-6	897.879051264231	724.837103137906	581.803255638678	469.11606013351	387.998595705057	339.140103518875
7.27927927927928E-6	898.010710018403	724.972850503017	581.942855066714	469.257471999105	388.134730092068	339.262285897964
7.3033033033033E-6	898.141783199681	725.108009160812	582.081865007465	469.398307864248	388.270347432131	339.384056675209
7.32732732732733E-6	898.272274782386	725.242583084731	582.22028941311	469.538571523667	388.405450941715	339.505418133286
7.35135135135135E-6	898.402188701777	725.376576209173	582.358132197078	469.678266735387	388.540043807838	339.626372536218
7.37537537537538E-6	898.531528854565	725.509992430011	582.495397234554	469.817397221202	388.674129188429	339.746922129577
7.3993993993994E-6	898.660299099408	725.642835605093	582.632088362973	469.955966667139	388.807710212678	339.867069140684
7.42342342342342E-6	898.788503257406	725.775109554731	582.768209382511	470.093978723916	388.940789981385	339.986815778804
7.44744744744745E-6	898.916145112589	725.906818062189	582.903764056564	470.231437007389	389.073371567301	340.106164235345
7.47147147147147E-6	899.043228412393	726.037964874158	583.03875611222	470.368345098997	389.205458015467	340.225116684047
7.4954954954955E-6	899.169756868127	726.168553701229	583.173189240728	470.504706546195	389.337052343544	340.343675281169
7.51951951951952E-6	899.295734155441	726.298588218353	583.307067097951	470.640524862884	389.468157542145	340.461842165683
7.54354354354354E-6	899.421163914776	726.428072065292	583.440393304821	470.775803529832	389.598776575148	340.579619459451
7.56756756756757E-6	899.546049751812	726.557008847074	583.573171447778	470.910545995089	389.728912380023	340.69700926741
7.59159159159159E-6	899.670395237912	726.685402134426	583.705405079211	471.044755674395	389.858567868139	340.814013677753
