time (s)	Resistance (Ù)	Resistance (Ù)
	Device 1	Device 2
0.01597	13460	16270
0.01598	13460	16260
0.01599	13460	16260
0.01599	13470	16250
0.016	13470	16250
0.01601	13470	16240
0.01602	13470	16240
0.01603	13480	16230
0.01604	13480	16230
0.01605	13480	16220
0.01605	13480	16220
0.01606	13490	16210
0.01607	13490	16210
0.01608	13490	16200
0.01609	13490	16200
0.0161	13500	16190
0.0161	13500	16190
0.01611	13500	16180
0.01612	13500	16170
0.01613	13510	16170
0.01614	13510	16160
0.01615	13510	16160
0.01615	13510	16150
0.01616	13520	16150
0.01617	13520	16140
0.01618	13520	16140
0.01619	13520	16130
0.0162	13530	16130
0.01621	13530	16120
0.01621	13530	16110
0.01622	13530	16110
0.01623	13540	16100
0.01624	13540	16100
0.01625	13540	16090
0.01626	13540	16090
0.01626	13550	16080
0.01627	13550	16080
0.01628	13550	16070
0.01629	13550	16060
0.0163	13560	16060
0.01631	13560	16050
0.01632	13560	16050
0.01632	13560	16040
0.01633	13570	16040
0.01634	13570	16030
0.01635	13570	16020
0.01636	13570	16020
0.01637	13580	16010
0.01638	13580	16010
0.01638	13580	16000
0.01639	13580	16000
0.0164	13590	15990
0.01641	13590	15980
0.01642	13590	15980
0.01643	13600	15970
0.01644	13600	15970
0.01645	13600	15960
0.01645	13600	15950
0.01646	13610	15950
0.01647	13610	15940
0.01648	13610	15940
0.01649	13610	15930
0.0165	13620	15920
0.01651	13620	15920
0.01652	13620	15910
0.01652	13620	15910
0.01653	13630	15900
0.01654	13630	15890
0.01655	13630	15890
0.01656	13630	15880
0.01657	13640	15870
0.01658	13640	15870
0.01659	13640	15860
0.0166	13640	15860
0.01661	13650	15850
0.01661	13650	15840
0.01662	13650	15840
0.01663	13660	15830
0.01664	13660	15820
0.01665	13660	15820
0.01666	13660	15810
0.01667	13670	15810
0.01668	13670	15800
0.01669	13670	15790
0.0167	13670	15790
0.01671	13680	15780
0.01672	13680	15770
0.01673	13680	15770
0.01673	13690	15760
0.01674	13690	15750
0.01675	13690	15750
0.01676	13690	15740
0.01677	13700	15730
0.01678	13700	15730
0.01679	13700	15720
0.0168	13700	15710
0.01681	13710	15710
0.01682	13710	15700
0.01683	13710	15690
0.01684	13720	15690
0.01685	13720	15680
0.01686	13720	15670
0.01687	13720	15670
0.01688	13730	15660
0.01689	13730	15650
0.0169	13730	15640
0.01691	13740	15640
0.01692	13740	15630
0.01693	13740	15620
0.01694	13740	15620
0.01695	13750	15610
0.01696	13750	15600
0.01697	13750	15590
0.01698	13760	15590
0.01699	13760	15580
0.017	13760	15570
0.01701	13760	15570
0.01702	13770	15560
0.01703	13770	15550
0.01704	13770	15540
0.01705	13780	15540
0.01706	13780	15530
0.01707	13780	15520
0.01708	13790	15510
0.01709	13790	15510
0.0171	13790	15500
0.01711	13790	15490
0.01712	13800	15480
0.01713	13800	15480
0.01714	13800	15470
0.01715	13810	15460
0.01716	13810	15450
0.01718	13810	15450
0.01719	13820	15440
0.0172	13820	15430
0.01721	13820	15420
0.01722	13830	15420
0.01723	13830	15410
0.01724	13830	15400
0.01725	13840	15390
0.01726	13840	15380
0.01727	13840	15380
0.01729	13840	15370
0.0173	13850	15360
0.01731	13850	15350
0.01732	13850	15340
0.01733	13860	15340
0.01734	13860	15330
0.01735	13860	15320
0.01736	13870	15310
0.01738	13870	15300
0.01739	13870	15290
0.0174	13880	15290
0.01741	13880	15280
0.01742	13880	15270
0.01743	13890	15260
0.01745	13890	15250
0.01746	13890	15240
0.01747	13900	15240
0.01748	13900	15230
0.01749	13910	15220
0.01751	13910	15210
0.01752	13910	15200
0.01753	13920	15190
0.01754	13920	15180
0.01756	13920	15180
0.01757	13930	15170
0.01758	13930	15160
0.01759	13930	15150
0.01761	13940	15140
0.01762	13940	15130
0.01763	13940	15120
0.01764	13950	15110
0.01766	13950	15100
0.01767	13950	15090
0.01768	13960	15090
0.0177	13960	15080
0.01771	13970	15070
0.01772	13970	15060
0.01774	13970	15050
0.01775	13980	15040
0.01776	13980	15030
0.01778	13980	15020
0.01779	13990	15010
0.0178	13990	15000
0.01782	14000	14990
0.01783	14000	14980
0.01784	14000	14970
0.01786	14010	14960
0.01787	14010	14950
0.01789	14020	14940
0.0179	14020	14930
0.01792	14020	14920
0.01793	14030	14910
0.01794	14030	14900
0.01796	14040	14890
