Voltage (V)	Current (A)	Current (A)	Current (A)	Current (A)	Current (A)
	R = 4.85 KÙ	R = 5.11 KÙ	R = 5.32 KÙ	R = 5.50 KÙ	R = 5.70 KÙ
-0.35	6.23167824990422E-5	5.91567656192855E-5	5.68573148962136E-5	5.49623445711988E-5	5.30739652694047E-5
-0.34	5.9953206908673E-5	5.69130443998036E-5	5.47008081538333E-5	5.28777110132973E-5	5.10609549090448E-5
-0.33	5.76435932514843E-5	5.47205487620272E-5	5.25935358312068E-5	5.08406709646604E-5	4.90939028548207E-5
-0.32	5.53858627192813E-5	5.25773053118846E-5	5.05336012409985E-5	4.88493909517399E-5	4.71710386271039E-5
-0.31	5.31779832021836E-5	5.04813849855972E-5	4.85191503030276E-5	4.69020786881087E-5	4.52906315182922E-5
-0.3	5.10179674595893E-5	4.84309013133925E-5	4.65483698754703E-5	4.49969814612822E-5	4.34509890350562E-5
-0.29	4.89038713315249E-5	4.64240087215539E-5	4.46194861229101E-5	4.31323845551582E-5	4.16504553749815E-5
-0.28	4.68337919887691E-5	4.44589008712792E-5	4.27307629197662E-5	4.13066097066571E-5	3.98874099362344E-5
-0.27	4.4805866220179E-5	4.25338090328545E-5	4.08805002876632E-5	3.95180135951718E-5	3.81602658589109E-5
-0.26	4.28182687556738E-5	4.06470004936776E-5	3.90670328653355E-5	3.77649863634681E-5	3.64674685967555E-5
-0.25	4.08692106233685E-5	3.87967769986999E-5	3.72887284096905E-5	3.60459501687046E-5	3.48074945179653E-5
-0.24	3.89569375393788E-5	3.6981473221882E-5	3.5543986326679E-5	3.43593577622675E-5	3.31788495338176E-5
-0.23	3.70797283288466E-5	3.51994552672881E-5	3.38312362306524E-5	3.27036910971428E-5	3.15800677538898E-5
-0.22	3.52358933767672E-5	3.34491191984694E-5	3.21489365309105E-5	3.10774599615708E-5	3.00097101666591E-5
-0.21	3.3423773107221E-5	3.17288895948125E-5	3.04955730441646E-5	2.94792006377557E-5	2.84663633442946E-5
-0.2	3.16417364896437E-5	3.00372181335552E-5	2.88696576316715E-5	2.79074745844204E-5	2.69486381704771E-5
-0.19	2.98881795707884E-5	2.83725821961912E-5	2.72697268598072E-5	2.6360867142022E-5	2.54551685901007E-5
-0.18	2.81615240310594E-5	2.67334834980105E-5	2.56943406828785E-5	2.48379862594634E-5	2.39846103797308E-5
-0.17	2.64602157639183E-5	2.51184467395423E-5	2.41420811469844E-5	2.33374612411527E-5	2.25356399377124E-5
-0.16	2.47827234770828E-5	2.35260182786857E-5	2.2611551113762E-5	2.18579415132849E-5	2.11069530928393E-5
-0.15	2.31275373142607E-5	2.19547648223338E-5	2.11013730028675E-5	2.03980954082344E-5	1.96972639305118E-5
-0.14	2.14931674961771E-5	2.04032721363131E-5	1.96101875520609E-5	1.89566089659641E-5	1.8305303635327E-5
-0.13	1.98781429796724E-5	1.88701437724773E-5	1.81366525937786E-5	1.75321847513726E-5	1.69298193490591E-5
-0.12	1.82810101336642E-5	1.73539998118096E-5	1.66794418470914E-5	1.61235406865153E-5	1.55695730430024E-5
-0.11	1.67003314307816E-5	1.58534756224027E-5	1.52372437239628E-5	1.47294088966475E-5	1.42233404036621E-5
-0.1	1.51346841534929E-5	1.43672206311976E-5	1.38087601487305E-5	1.33485345690516E-5	1.28899097307894E-5
-0.09	1.35826591135641E-5	1.28938971083771E-5	1.23927053897513E-5	1.1979674823621E-5	1.15680808467694E-5
-0.08	1.20428593836946E-5	1.14321789633183E-5	1.09878049021556E-5	1.0621597594184E-5	1.02566640163804E-5
-0.07	1.05138990401877E-5	9.98075055102172E-6	9.59279418067099E-6	9.2730805195611E-6	8.95447887595172E-6
-0.06	8.99440191552654E-6	8.53830548794193E-6	8.20641762148197E-6	7.93290984335749E-6	7.66035337095685E-6
-0.05	7.48300035972966E-6	7.1035454761542E-6	6.82742739210209E-6	6.59987932150039E-6	6.3731227010852E-6
-0.04	5.97833400937422E-6	5.67517913479872E-6	5.45458230824028E-6	5.27278913653786E-6	5.09162827184322E-6
-0.03	4.47904856317687E-6	4.25192083775063E-6	4.08664671665124E-6	3.95044481772215E-6	3.81471665174112E-6
-0.02	2.98379456303123E-6	2.8324895564698E-6	2.72238938296412E-6	2.63165616590543E-6	2.5412385341267E-6
-0.01	1.49122617940449E-6	1.41560770698856E-6	1.36058238348846E-6	1.31523618228014E-6	1.27004770273172E-6
0	0	0	0	0	0
0.01	1.49198570283075E-6	1.41632871580044E-6	1.36127536635577E-6	1.31590606905205E-6	1.27069457374031E-6
0.02	2.98531429350611E-6	2.83393222305016E-6	2.72377597243011E-6	2.63299654239257E-6	2.54253285837143E-6
0.03	4.48132986856039E-6	4.25408646059678E-6	4.08872816074003E-6	3.95245689035384E-6	3.81665959420121E-6
0.04	5.9813789429952E-6	5.6780696631174E-6	5.45736048039204E-6	5.27547471631527E-6	5.09422158129803E-6
0.05	7.48681166223391E-6	7.10716351161602E-6	6.83090479285929E-6	6.60324082562661E-6	6.37636871168828E-6
0.0600000000000001	8.99898301734357E-6	8.54265428702302E-6	8.21059738074003E-6	7.93695029741315E-6	7.66425500433685E-6
0.0700000000000001	1.05192540646184E-5	9.98583402793481E-6	9.59768006049537E-6	9.27780356022757E-6	8.95903964384206E-6
0.08	1.20489931506224E-5	1.14380016935357E-5	1.0993401300168E-5	1.06270074725167E-5	1.026188802378E-5
0.09	1.35895771437933E-5	1.29004643327492E-5	1.23990173430876E-5	1.19857764088757E-5	1.15739727956376E-5
0.1	1.51423926737177E-5	1.43745382606695E-5	1.38157933385748E-5	1.33553333530668E-5	1.28964749242779E-5
